id,source,corpus,fixture_set_version,introspection_commit,index_commit,author,date_authored,filter_complexity,schema_reach,requires_aggregation,feasible,catalogues,negative_reason,prompt,reference_sqon,reference_ast,reference_fields,reference_aggregation,expected_record_ids,reference_validated,frontier_pass,frontier_model,validation_date,notes
single-pred-deep-003,synthetic-fixture,main,5.0.0,a1b2c3d4,snap-2026-05-29,MS,2026-05-30,single-predicate,single-deep,no,yes,"[""file_centric""]",,Files that came from RNA-Seq experiments.,"{""op"":""in"",""content"":{""fieldName"":""analysis__experiment__experimental_strategy"",""value"":[""RNA-Seq""]}}","{""op"":""in"",""content"":{""fieldName"":""analysis__experiment__experimental_strategy"",""value"":[""RNA-Seq""]}}","[""object_id"",""analysis.experiment.experimental_strategy""]",,[],pending,pending,,,"ARGO SONG/file metadata value (platform convention, not lectern); confirm against the real file index at validation."
single-pred-deep-004,synthetic-fixture,main,5.0.0,a1b2c3d4,snap-2026-05-29,MS,2026-05-30,single-predicate,single-deep,no,yes,"[""file_centric""]",,Find files that include a primary tumour specimen.,"{""op"":""in"",""content"":{""fieldName"":""donors__specimens__specimen_type"",""value"":[""Primary tumour""]}}","{""op"":""in"",""content"":{""fieldName"":""donors__specimens__specimen_type"",""value"":[""Primary tumour""]}}","[""object_id"",""donors.specimens.specimen_type""]",,[],pending,pending,,,'Primary tumour' is the exact base specimen_type codeList value.
boolean-shallow-001,synthetic-fixture,main,5.0.0,a1b2c3d4,snap-2026-05-29,MS,2026-05-30,boolean,single-shallow,no,yes,"[""donor_centric""]",,Deceased donors who died of their cancer.,"{""op"":""and"",""content"":[{""op"":""in"",""content"":{""fieldName"":""vital_status"",""value"":[""Deceased""]}},{""op"":""in"",""content"":{""fieldName"":""cause_of_death"",""value"":[""Died of cancer""]}}]}","{""op"":""and"",""content"":[{""op"":""in"",""content"":{""fieldName"":""cause_of_death"",""value"":[""Died of cancer""]}},{""op"":""in"",""content"":{""fieldName"":""vital_status"",""value"":[""Deceased""]}}]}","[""submitter_donor_id"",""vital_status"",""cause_of_death""]",,[],pending,pending,,,
boolean-shallow-002,synthetic-fixture,main,5.0.0,a1b2c3d4,snap-2026-05-29,MS,2026-05-30,boolean,single-shallow,no,yes,"[""donor_centric""]",,Female donors with a breast primary site.,"{""op"":""and"",""content"":[{""op"":""in"",""content"":{""fieldName"":""gender"",""value"":[""Female""]}},{""op"":""in"",""content"":{""fieldName"":""primary_site"",""value"":[""Breast""]}}]}","{""op"":""and"",""content"":[{""op"":""in"",""content"":{""fieldName"":""gender"",""value"":[""Female""]}},{""op"":""in"",""content"":{""fieldName"":""primary_site"",""value"":[""Breast""]}}]}","[""submitter_donor_id"",""gender"",""primary_site""]",,[],pending,pending,,,
boolean-shallow-003,synthetic-fixture,main,5.0.0,a1b2c3d4,snap-2026-05-29,MS,2026-05-30,boolean,single-shallow,no,yes,"[""donor_centric""]",,Donors who either have a breast primary or carry hereditary breast and ovarian cancer syndrome.,"{""op"":""or"",""content"":[{""op"":""in"",""content"":{""fieldName"":""primary_site"",""value"":[""Breast""]}},{""op"":""in"",""content"":{""fieldName"":""genetic_disorders"",""value"":[""Hereditary Breast and Ovarian Cancer Syndrome (HBOC)""]}}]}","{""op"":""or"",""content"":[{""op"":""in"",""content"":{""fieldName"":""genetic_disorders"",""value"":[""Hereditary Breast and Ovarian Cancer Syndrome (HBOC)""]}},{""op"":""in"",""content"":{""fieldName"":""primary_site"",""value"":[""Breast""]}}]}","[""submitter_donor_id"",""primary_site"",""genetic_disorders""]",,[],pending,pending,,,
boolean-shallow-004,synthetic-fixture,main,5.0.0,a1b2c3d4,snap-2026-05-29,MS,2026-05-30,boolean,single-shallow,yes,yes,"[""donor_centric""]",,"Among female donors who are deceased, break the cohort down by primary site.","{""op"":""and"",""content"":[{""op"":""in"",""content"":{""fieldName"":""gender"",""value"":[""Female""]}},{""op"":""in"",""content"":{""fieldName"":""vital_status"",""value"":[""Deceased""]}}]}","{""op"":""and"",""content"":[{""op"":""in"",""content"":{""fieldName"":""gender"",""value"":[""Female""]}},{""op"":""in"",""content"":{""fieldName"":""vital_status"",""value"":[""Deceased""]}}]}","[""submitter_donor_id"",""gender"",""vital_status"",""primary_site""]","{""field"":""primary_site"",""aggType"":""terms"",""args"":{}}",[],pending,pending,,,
boolean-shallow-005,synthetic-fixture,main,5.0.0,a1b2c3d4,snap-2026-05-29,MS,2026-05-30,boolean,single-shallow,no,yes,"[""file_centric""]",,Find open-access BAM files.,"{""op"":""and"",""content"":[{""op"":""in"",""content"":{""fieldName"":""file_access"",""value"":[""open""]}},{""op"":""in"",""content"":{""fieldName"":""file_type"",""value"":[""BAM""]}}]}","{""op"":""and"",""content"":[{""op"":""in"",""content"":{""fieldName"":""file_access"",""value"":[""open""]}},{""op"":""in"",""content"":{""fieldName"":""file_type"",""value"":[""BAM""]}}]}","[""object_id"",""file_access"",""file_type""]",,[],pending,pending,,,"ARGO SONG/file metadata value (platform convention, not lectern); confirm against the real file index at validation."
boolean-shallow-006,synthetic-fixture,main,5.0.0,a1b2c3d4,snap-2026-05-29,MS,2026-05-30,boolean,single-shallow,no,yes,"[""file_centric""]",,Controlled-access VCF files from the LIRI-JP study.,"{""op"":""and"",""content"":[{""op"":""in"",""content"":{""fieldName"":""file_access"",""value"":[""controlled""]}},{""op"":""in"",""content"":{""fieldName"":""file_type"",""value"":[""VCF""]}},{""op"":""in"",""content"":{""fieldName"":""study_id"",""value"":[""LIRI-JP""]}}]}","{""op"":""and"",""content"":[{""op"":""in"",""content"":{""fieldName"":""file_access"",""value"":[""controlled""]}},{""op"":""in"",""content"":{""fieldName"":""file_type"",""value"":[""VCF""]}},{""op"":""in"",""content"":{""fieldName"":""study_id"",""value"":[""LIRI-JP""]}}]}","[""object_id"",""file_access"",""file_type"",""study_id""]",,[],pending,pending,,,"ARGO SONG/file metadata value (platform convention, not lectern); confirm against the real file index at validation."
boolean-shallow-007,synthetic-fixture,main,5.0.0,a1b2c3d4,snap-2026-05-29,MS,2026-05-30,boolean,single-shallow,no,yes,"[""file_centric""]",,Files that are either CRAM format or come from the RECA-EU study.,"{""op"":""or"",""content"":[{""op"":""in"",""content"":{""fieldName"":""file_type"",""value"":[""CRAM""]}},{""op"":""in"",""content"":{""fieldName"":""study_id"",""value"":[""RECA-EU""]}}]}","{""op"":""or"",""content"":[{""op"":""in"",""content"":{""fieldName"":""file_type"",""value"":[""CRAM""]}},{""op"":""in"",""content"":{""fieldName"":""study_id"",""value"":[""RECA-EU""]}}]}","[""object_id"",""file_type"",""study_id""]",,[],pending,pending,,,"ARGO SONG/file metadata value (platform convention, not lectern); confirm against the real file index at validation."
boolean-shallow-008,synthetic-fixture,main,5.0.0,a1b2c3d4,snap-2026-05-29,MS,2026-05-30,boolean,single-shallow,yes,yes,"[""file_centric""]",,"For published sequencing-alignment analyses, break the files down by data type.","{""op"":""and"",""content"":[{""op"":""in"",""content"":{""fieldName"":""analysis__analysis_state"",""value"":[""PUBLISHED""]}},{""op"":""in"",""content"":{""fieldName"":""analysis__analysis_type"",""value"":[""sequencing_alignment""]}}]}","{""op"":""and"",""content"":[{""op"":""in"",""content"":{""fieldName"":""analysis__analysis_state"",""value"":[""PUBLISHED""]}},{""op"":""in"",""content"":{""fieldName"":""analysis__analysis_type"",""value"":[""sequencing_alignment""]}}]}","[""object_id"",""analysis.analysis_state"",""analysis.analysis_type"",""data_type""]","{""field"":""data_type"",""aggType"":""terms"",""args"":{}}",[],pending,pending,,,"ARGO SONG/file metadata value (platform convention, not lectern); confirm against the real file index at validation."
boolean-deep-001,synthetic-fixture,main,5.0.0,a1b2c3d4,snap-2026-05-29,MS,2026-05-30,boolean,single-deep,no,yes,"[""donor_centric""]",,Donors with a Total DNA sample taken from a primary tumour specimen.,"{""op"":""and"",""content"":[{""op"":""in"",""content"":{""fieldName"":""specimens__specimen_type"",""value"":[""Primary tumour""]}},{""op"":""in"",""content"":{""fieldName"":""specimens__samples__sample_type"",""value"":[""Total DNA""]}}]}","{""op"":""and"",""content"":[{""op"":""in"",""content"":{""fieldName"":""specimens__samples__sample_type"",""value"":[""Total DNA""]}},{""op"":""in"",""content"":{""fieldName"":""specimens__specimen_type"",""value"":[""Primary tumour""]}}]}","[""submitter_donor_id"",""specimens.specimen_type"",""specimens.samples.sample_type""]",,[],pending,pending,,,
boolean-deep-002,synthetic-fixture,main,5.0.0,a1b2c3d4,snap-2026-05-29,MS,2026-05-30,boolean,single-deep,no,yes,"[""donor_centric""]",,"Donors with ER-positive, HER2-negative tumours.","{""op"":""and"",""content"":[{""op"":""in"",""content"":{""fieldName"":""biomarkers__er_status"",""value"":[""Positive""]}},{""op"":""in"",""content"":{""fieldName"":""biomarkers__her2_ihc_status"",""value"":[""Negative""]}}]}","{""op"":""and"",""content"":[{""op"":""in"",""content"":{""fieldName"":""biomarkers__er_status"",""value"":[""Positive""]}},{""op"":""in"",""content"":{""fieldName"":""biomarkers__her2_ihc_status"",""value"":[""Negative""]}}]}","[""submitter_donor_id"",""biomarkers.er_status"",""biomarkers.her2_ihc_status""]",,[],pending,pending,,,HER2 status read from the IHC field (her2_ihc_status); ish field left aside.
boolean-deep-003,synthetic-fixture,main,5.0.0,a1b2c3d4,snap-2026-05-29,MS,2026-05-30,boolean,single-deep,yes,yes,"[""donor_centric""]",,"For donors who had curative-intent radiation therapy, break the treatments down by the anatomical site irradiated.","{""op"":""and"",""content"":[{""op"":""in"",""content"":{""fieldName"":""treatments__treatment_type"",""value"":[""Radiation therapy""]}},{""op"":""in"",""content"":{""fieldName"":""treatments__treatment_intent"",""value"":[""Curative""]}}]}","{""op"":""and"",""content"":[{""op"":""in"",""content"":{""fieldName"":""treatments__treatment_intent"",""value"":[""Curative""]}},{""op"":""in"",""content"":{""fieldName"":""treatments__treatment_type"",""value"":[""Radiation therapy""]}}]}","[""submitter_donor_id"",""treatments.treatment_type"",""treatments.treatment_intent"",""treatments.radiation.anatomical_site_irradiated""]","{""field"":""treatments__radiation__anatomical_site_irradiated"",""aggType"":""terms"",""args"":{}}",[],pending,pending,,,
boolean-deep-004,synthetic-fixture,main,5.0.0,a1b2c3d4,snap-2026-05-29,MS,2026-05-30,boolean,single-deep,no,yes,"[""file_centric""]",,Files with a Total RNA sample from a tumour specimen.,"{""op"":""and"",""content"":[{""op"":""in"",""content"":{""fieldName"":""donors__specimens__samples__sample_type"",""value"":[""Total RNA""]}},{""op"":""in"",""content"":{""fieldName"":""donors__specimens__tumour_normal_designation"",""value"":[""Tumour""]}}]}","{""op"":""and"",""content"":[{""op"":""in"",""content"":{""fieldName"":""donors__specimens__samples__sample_type"",""value"":[""Total RNA""]}},{""op"":""in"",""content"":{""fieldName"":""donors__specimens__tumour_normal_designation"",""value"":[""Tumour""]}}]}","[""object_id"",""donors.specimens.samples.sample_type"",""donors.specimens.tumour_normal_designation""]",,[],pending,pending,,,
boolean-deep-005,synthetic-fixture,main,5.0.0,a1b2c3d4,snap-2026-05-29,MS,2026-05-30,boolean,single-deep,no,yes,"[""file_centric""]",,Whole-genome sequencing files run on an Illumina platform.,"{""op"":""and"",""content"":[{""op"":""in"",""content"":{""fieldName"":""analysis__experiment__experimental_strategy"",""value"":[""WGS""]}},{""op"":""in"",""content"":{""fieldName"":""analysis__experiment__platform"",""value"":[""ILLUMINA""]}}]}","{""op"":""and"",""content"":[{""op"":""in"",""content"":{""fieldName"":""analysis__experiment__experimental_strategy"",""value"":[""WGS""]}},{""op"":""in"",""content"":{""fieldName"":""analysis__experiment__platform"",""value"":[""ILLUMINA""]}}]}","[""object_id"",""analysis.experiment.experimental_strategy"",""analysis.experiment.platform""]",,[],pending,pending,,,"ARGO SONG/file metadata value (platform convention, not lectern); confirm against the real file index at validation."
negation-shallow-001,synthetic-fixture,main,5.0.0,a1b2c3d4,snap-2026-05-29,MS,2026-05-30,negation,single-shallow,no,yes,"[""donor_centric""]",,Donors who did not die of their cancer.,"{""op"":""not-in"",""content"":{""fieldName"":""cause_of_death"",""value"":[""Died of cancer""]}}","{""op"":""not-in"",""content"":{""fieldName"":""cause_of_death"",""value"":[""Died of cancer""]}}","[""submitter_donor_id"",""cause_of_death""]",,[],pending,pending,,,"cause_of_death codeList is {Died of cancer, Died of other reasons, Unknown}; not a binary flip."
negation-shallow-002,synthetic-fixture,main,5.0.0,a1b2c3d4,snap-2026-05-29,MS,2026-05-30,negation,single-shallow,no,yes,"[""donor_centric""]",,Donors whose primary site is neither breast nor ovary.,"{""op"":""not-in"",""content"":{""fieldName"":""primary_site"",""value"":[""Breast"",""Ovary""]}}","{""op"":""not-in"",""content"":{""fieldName"":""primary_site"",""value"":[""Breast"",""Ovary""]}}","[""submitter_donor_id"",""primary_site""]",,[],pending,pending,,,
negation-shallow-003,synthetic-fixture,main,5.0.0,a1b2c3d4,snap-2026-05-29,MS,2026-05-30,negation,single-shallow,yes,yes,"[""donor_centric""]",,"Leaving out donors of unknown cause of death, break them down by cause of death.","{""op"":""not-in"",""content"":{""fieldName"":""cause_of_death"",""value"":[""Unknown""]}}","{""op"":""not-in"",""content"":{""fieldName"":""cause_of_death"",""value"":[""Unknown""]}}","[""submitter_donor_id"",""cause_of_death""]","{""field"":""cause_of_death"",""aggType"":""terms"",""args"":{}}",[],pending,pending,,,
negation-shallow-004,synthetic-fixture,main,5.0.0,a1b2c3d4,snap-2026-05-29,MS,2026-05-30,negation,single-shallow,no,yes,"[""file_centric""]",,Find files that aren't controlled-access.,"{""op"":""not-in"",""content"":{""fieldName"":""file_access"",""value"":[""controlled""]}}","{""op"":""not-in"",""content"":{""fieldName"":""file_access"",""value"":[""controlled""]}}","[""object_id"",""file_access""]",,[],pending,pending,,,"ARGO SONG/file metadata value (platform convention, not lectern); confirm against the real file index at validation."
negation-shallow-005,synthetic-fixture,main,5.0.0,a1b2c3d4,snap-2026-05-29,MS,2026-05-30,negation,single-shallow,no,yes,"[""file_centric""]",,Files that are neither BAM nor CRAM.,"{""op"":""not-in"",""content"":{""fieldName"":""file_type"",""value"":[""BAM"",""CRAM""]}}","{""op"":""not-in"",""content"":{""fieldName"":""file_type"",""value"":[""BAM"",""CRAM""]}}","[""object_id"",""file_type""]",,[],pending,pending,,,"ARGO SONG/file metadata value (platform convention, not lectern); confirm against the real file index at validation."
negation-shallow-006,synthetic-fixture,main,5.0.0,a1b2c3d4,snap-2026-05-29,MS,2026-05-30,negation,single-shallow,no,yes,"[""file_centric""]",,Files that are not open-access FASTQ files.,"{""op"":""not"",""content"":[{""op"":""and"",""content"":[{""op"":""in"",""content"":{""fieldName"":""file_access"",""value"":[""open""]}},{""op"":""in"",""content"":{""fieldName"":""file_type"",""value"":[""FASTQ""]}}]}]}","{""op"":""not"",""content"":[{""op"":""and"",""content"":[{""op"":""in"",""content"":{""fieldName"":""file_access"",""value"":[""open""]}},{""op"":""in"",""content"":{""fieldName"":""file_type"",""value"":[""FASTQ""]}}]}]}","[""object_id"",""file_access"",""file_type""]",,[],pending,pending,,,"Excludes files that are BOTH open-access AND FASTQ: NOT(open AND FASTQ). ARGO SONG/file metadata value (platform convention, not lectern); confirm against the real file index at validation."
negation-deep-001,synthetic-fixture,main,5.0.0,a1b2c3d4,snap-2026-05-29,MS,2026-05-30,negation,single-deep,no,yes,"[""donor_centric""]",,Donors whose samples are not Total DNA.,"{""op"":""not-in"",""content"":{""fieldName"":""specimens__samples__sample_type"",""value"":[""Total DNA""]}}","{""op"":""not-in"",""content"":{""fieldName"":""specimens__samples__sample_type"",""value"":[""Total DNA""]}}","[""submitter_donor_id"",""specimens.samples.sample_type""]",,[],pending,pending,,,
negation-deep-002,synthetic-fixture,main,5.0.0,a1b2c3d4,snap-2026-05-29,MS,2026-05-30,negation,single-deep,no,yes,"[""donor_centric""]",,Donors with at least one specimen that isn't a primary tumour.,"{""op"":""some-not-in"",""content"":{""fieldName"":""specimens__specimen_type"",""value"":[""Primary tumour""]}}","{""op"":""some-not-in"",""content"":{""fieldName"":""specimens__specimen_type"",""value"":[""Primary tumour""]}}","[""submitter_donor_id"",""specimens.specimen_type""]",,[],pending,pending,,,some-not-in: the nested specimens array has at least one element outside the value set.
negation-deep-003,synthetic-fixture,main,5.0.0,a1b2c3d4,snap-2026-05-29,MS,2026-05-30,negation,single-deep,yes,yes,"[""donor_centric""]",,How many distinct donors never received chemotherapy?,"{""op"":""not-in"",""content"":{""fieldName"":""treatments__treatment_type"",""value"":[""Chemotherapy""]}}","{""op"":""not-in"",""content"":{""fieldName"":""treatments__treatment_type"",""value"":[""Chemotherapy""]}}","[""submitter_donor_id"",""treatments.treatment_type""]","{""field"":""submitter_donor_id"",""aggType"":""cardinality"",""args"":{}}",[],pending,pending,,,
negation-deep-004,synthetic-fixture,main,5.0.0,a1b2c3d4,snap-2026-05-29,MS,2026-05-30,negation,single-deep,yes,yes,"[""file_centric""]",,"For files whose experiment isn't RNA-Seq, break them down by experimental strategy.","{""op"":""not-in"",""content"":{""fieldName"":""analysis__experiment__experimental_strategy"",""value"":[""RNA-Seq""]}}","{""op"":""not-in"",""content"":{""fieldName"":""analysis__experiment__experimental_strategy"",""value"":[""RNA-Seq""]}}","[""object_id"",""analysis.experiment.experimental_strategy""]","{""field"":""analysis__experiment__experimental_strategy"",""aggType"":""terms"",""args"":{}}",[],pending,pending,,,"ARGO SONG/file metadata value (platform convention, not lectern); confirm against the real file index at validation."
negation-deep-005,synthetic-fixture,main,5.0.0,a1b2c3d4,snap-2026-05-29,MS,2026-05-30,negation,single-deep,no,yes,"[""file_centric""]",,Files that include at least one sample that isn't Total RNA.,"{""op"":""some-not-in"",""content"":{""fieldName"":""donors__specimens__samples__sample_type"",""value"":[""Total RNA""]}}","{""op"":""some-not-in"",""content"":{""fieldName"":""donors__specimens__samples__sample_type"",""value"":[""Total RNA""]}}","[""object_id"",""donors.specimens.samples.sample_type""]",,[],pending,pending,,,some-not-in over the embedded nested samples array.
negative-001,synthetic-fixture,main,5.0.0,a1b2c3d4,snap-2026-05-29,MS,2026-05-30,single-predicate,single-deep,no,no,"[""file_centric""]",nonexistent-field,Show me files from donors who are deceased.,,,,,[],pending,pending,,,"file_centric embeds only donor_id/submitter_donor_id/gender on the donor; vital_status is a donor_centric (lectern) field, absent here."
negative-002,synthetic-fixture,main,5.0.0,a1b2c3d4,snap-2026-05-29,MS,2026-05-30,boolean,single-deep,no,no,"[""file_centric""]",nonexistent-field,BAM files from donors who were treated with FOLFIRINOX chemotherapy.,,,,,[],pending,pending,,,"file_type=BAM is valid, but file_centric has no treatment/chemotherapy entity; the chemo condition is not expressible in this catalogue."
negative-003,synthetic-fixture,main,5.0.0,a1b2c3d4,snap-2026-05-29,MS,2026-05-30,single-predicate,single-deep,no,no,"[""file_centric""]",nonexistent-field,Files where the specimen's tumour grade is G3.,,,,,[],pending,pending,,,file_centric's embedded specimen subset has no tumour_grade (that field lives on donor_centric specimens).
negative-004,synthetic-fixture,main,5.0.0,a1b2c3d4,snap-2026-05-29,MS,2026-05-30,single-predicate,single-shallow,no,no,"[""donor_centric""]",nonexistent-field,Donors whose files are larger than 1 GB.,,,,,[],pending,pending,,,file.size is a file_centric field; donor_centric is clinical-only and has no file/size metadata.
negative-005,synthetic-fixture,main,5.0.0,a1b2c3d4,snap-2026-05-29,MS,2026-05-30,single-predicate,single-shallow,no,no,"[""donor_centric""]",nonexistent-value,Donors whose vital status is 'Critical'.,,,,,[],pending,pending,,,"vital_status exists but its codeList is {Alive, Deceased}; 'Critical' is not a legal value."
negative-006,synthetic-fixture,main,5.0.0,a1b2c3d4,snap-2026-05-29,MS,2026-05-30,single-predicate,single-deep,no,no,"[""donor_centric""]",nonexistent-value,Donors with a miRNA sample.,,,,,[],pending,pending,,,"sample_type exists but its codeList has no miRNA entry (Total/Amplified DNA, ctDNA, Other DNA enrichments, Total RNA, polyA+ RNA, Ribo-Zero RNA, Other RNA fractions)."
negative-007,synthetic-fixture,main,5.0.0,a1b2c3d4,snap-2026-05-29,MS,2026-05-30,single-predicate,single-shallow,no,no,"[""file_centric""]",nonexistent-value,Show me all the embargoed files.,,,,,[],pending,pending,,,"file_access exists but its values are {open, controlled}; 'embargoed' is not a legal value."
negative-008,synthetic-fixture,main,5.0.0,a1b2c3d4,snap-2026-05-29,MS,2026-05-30,boolean,single-deep,no,no,"[""file_centric""]",nonexistent-relationship,Pair each tumour file with the matched normal file from the same donor and return both.,,,,,[],pending,pending,,,"matched_normal_submitter_sample_id is a flat string field, not a resolvable join; no tumour<->normal file pairing relationship exists to traverse."
