hugo_symbol,entrez_gene_id,number_of_samples_mutated_at_gene,total_number_of_mutated_samples,overall_mutation_frequency,cancer_type,number_of_samples_with_gains,number_of_samples_with_losses,total_number_of_samples,percent_of_samples_with_gains,percent_of_samples_with_losses,dataset_name,is_oncogene,is_tumor_suppressor_gene
OR1D4,653166,,,,BRCA,71,615,1070,6.64,57.48,cBioPortal,,
FAM86B2,653333,2,1009,0.20,BRCA,147,561,1070,13.74,52.43,cBioPortal,,
LOC100507577,100507577,,,,BRCA,175,563,1070,16.36,52.62,cBioPortal,,
ANKRD11,29123,20,1009,1.98,BRCA,106,685,1070,9.91,64.02,cBioPortal,No,Yes
CHMP7,91782,2,1009,0.20,BRCA,145,579,1070,13.55,54.11,cBioPortal,,
WDR59,79726,3,1009,0.30,BRCA,110,666,1070,10.28,62.24,cBioPortal,,
KCTD11,147040,,,,BRCA,54,648,1070,5.05,60.56,cBioPortal,,
WDR16,146845,,,,BRCA,56,645,1070,5.23,60.28,cBioPortal,,
R3HCC1,203069,3,1009,0.30,BRCA,145,579,1070,13.55,54.11,cBioPortal,,
NUP93,9688,5,1009,0.50,BRCA,122,634,1070,11.40,59.25,cBioPortal,No,No
TPPP3,51673,3,1009,0.30,BRCA,97,671,1070,9.07,62.71,cBioPortal,,
N4BP1,9683,6,1009,0.59,BRCA,171,566,1070,15.98,52.90,cBioPortal,,
PSMD7,5713,2,1009,0.20,BRCA,106,665,1070,9.91,62.15,cBioPortal,,
TERF2,7014,1,1009,0.10,BRCA,104,662,1070,9.72,61.87,cBioPortal,,
RILP,83547,,,,BRCA,73,618,1070,6.82,57.76,cBioPortal,,
USP17L2,377630,,,,BRCA,147,561,1070,13.74,52.43,cBioPortal,,
MIR3926-1,100500870,,,,BRCA,149,555,1070,13.93,51.87,cBioPortal,,
MIR497HG,100506755,,,,BRCA,53,651,1070,4.95,60.84,cBioPortal,,
KRT16P1,729252,,,,BRCA,89,567,1070,8.32,52.99,cBioPortal,,
SOX15,6665,2,1009,0.20,BRCA,52,652,1070,4.86,60.93,cBioPortal,,
FAM66A,100133172,,,,BRCA,147,561,1070,13.74,52.43,cBioPortal,,
KARS,3735,,,,BRCA,107,667,1070,10.00,62.34,cBioPortal,,
MIR1288,100302124,,,,BRCA,70,611,1070,6.54,57.10,cBioPortal,,
RSPRY1,89970,1,1009,0.10,BRCA,116,641,1070,10.84,59.91,cBioPortal,,
MYH8,4626,20,1009,1.98,BRCA,53,641,1070,4.95,59.91,cBioPortal,,
CCDC113,29070,1,1009,0.10,BRCA,103,653,1070,9.63,61.03,cBioPortal,,
SPNS3,201305,1,1009,0.10,BRCA,73,622,1070,6.82,58.13,cBioPortal,,
C17orf85,55421,,,,BRCA,74,616,1070,6.92,57.57,cBioPortal,,
HIC1,3090,,,,BRCA,72,617,1070,6.73,57.66,cBioPortal,,
MIR6842,102465507,,,,BRCA,157,562,1070,14.67,52.52,cBioPortal,,
ESCO2,157570,2,1009,0.20,BRCA,157,559,1070,14.67,52.24,cBioPortal,No,Yes
SMPD3,55512,2,1009,0.20,BRCA,107,664,1070,10.00,62.06,cBioPortal,,
PIK3R6,146850,4,1009,0.40,BRCA,58,643,1070,5.42,60.09,cBioPortal,,
MPHOSPH6,10200,1,1009,0.10,BRCA,98,682,1070,9.16,63.74,cBioPortal,,
GABARAPL2,11345,1,1009,0.10,BRCA,107,667,1070,10.00,62.34,cBioPortal,,
DBIL5P,100131454,,,,BRCA,74,618,1070,6.92,57.76,cBioPortal,,
FAM86B2-DT,100506990,,,,BRCA,147,561,1070,13.74,52.43,cBioPortal,,
MIR4720,100616150,,,,BRCA,100,679,1070,9.35,63.46,cBioPortal,,
NAA38,84316,,,,BRCA,58,645,1070,5.42,60.28,cBioPortal,,
WWOX,51741,1,1009,0.10,BRCA,105,685,1070,9.81,64.02,cBioPortal,,
RPL26,6154,3,1009,0.30,BRCA,56,641,1070,5.23,59.91,cBioPortal,,
GFRA2,2675,4,1009,0.40,BRCA,147,570,1070,13.74,53.27,cBioPortal,,
MIR320A,407037,,,,BRCA,146,572,1070,13.64,53.46,cBioPortal,,
CNGB1,1258,7,1009,0.69,BRCA,107,647,1070,10.00,60.47,cBioPortal,,
PMFBP1,83449,14,1009,1.39,BRCA,105,666,1070,9.81,62.24,cBioPortal,,
CA7,766,1,1009,0.10,BRCA,98,664,1070,9.16,62.06,cBioPortal,,
NETO2,81831,2,1009,0.20,BRCA,177,561,1070,16.54,52.43,cBioPortal,,
RP11-115J16.1,157273,,,,BRCA,149,556,1070,13.93,51.96,cBioPortal,,
C8orf12,83656,,,,BRCA,148,556,1070,13.83,51.96,cBioPortal,,
LZTS1-AS1,100874051,,,,BRCA,145,568,1070,13.55,53.08,cBioPortal,,
IL17C,27189,,,,BRCA,109,681,1070,10.19,63.64,cBioPortal,,
MYBBP1A,10514,6,1009,0.59,BRCA,73,621,1070,6.82,58.04,cBioPortal,,
RABEP1,9135,9,1009,0.89,BRCA,67,626,1070,6.26,58.50,cBioPortal,No,No
MIR324,442898,,,,BRCA,54,649,1070,5.05,60.65,cBioPortal,,
DEFB106A,245909,,,,BRCA,150,561,1070,14.02,52.43,cBioPortal,,
XKR5,389610,2,1009,0.20,BRCA,148,558,1070,13.83,52.15,cBioPortal,,
MYH13,8735,17,1009,1.68,BRCA,53,641,1070,4.95,59.91,cBioPortal,,
XAF1,54739,2,1009,0.20,BRCA,55,644,1070,5.14,60.19,cBioPortal,,
FAM106A,80039,,,,BRCA,89,567,1070,8.32,52.99,cBioPortal,,
AGPAT5,55326,2,1009,0.20,BRCA,149,559,1070,13.93,52.24,cBioPortal,,
PSMB10,5699,,,,BRCA,96,670,1070,8.97,62.62,cBioPortal,,
BIN3,55909,,,,BRCA,144,579,1070,13.46,54.11,cBioPortal,,
KIF13B,23303,8,1009,0.79,BRCA,158,559,1070,14.77,52.24,cBioPortal,,
MIR3926-2,100500838,,,,BRCA,149,555,1070,13.93,51.87,cBioPortal,,
BEAN1-AS1,101927726,,,,BRCA,98,666,1070,9.16,62.24,cBioPortal,,
CTCF,10664,22,1009,2.18,BRCA,94,675,1070,8.79,63.08,cBioPortal,No,Yes
FTO,79068,4,1009,0.40,BRCA,155,598,1070,14.49,55.89,cBioPortal,,
TSR1,55720,7,1009,0.69,BRCA,75,614,1070,7.01,57.38,cBioPortal,,
MIR4659A,100616348,,,,BRCA,149,559,1070,13.93,52.24,cBioPortal,,
SNORD91A,692207,,,,BRCA,75,614,1070,7.01,57.38,cBioPortal,,
VAT1L,57687,1,1009,0.10,BRCA,106,674,1070,9.91,62.99,cBioPortal,,
LLGL1,3996,2,1009,0.20,BRCA,88,566,1070,8.22,52.90,cBioPortal,,
SCIMP,388325,,,,BRCA,67,624,1070,6.26,58.32,cBioPortal,,
DEFB136,613210,1,1009,0.10,BRCA,147,561,1070,13.74,52.43,cBioPortal,,
GAN,8139,3,1009,0.30,BRCA,99,680,1070,9.25,63.55,cBioPortal,,
ASAH1,427,,,,BRCA,154,556,1070,14.39,51.96,cBioPortal,,
FHOD1,29109,6,1009,0.59,BRCA,96,669,1070,8.97,62.52,cBioPortal,,
MIR4722,100616167,,,,BRCA,109,681,1070,10.19,63.64,cBioPortal,,
EXOC3L1,283849,2,1009,0.20,BRCA,97,669,1070,9.07,62.52,cBioPortal,,
CPNE7,27132,3,1009,0.30,BRCA,106,683,1070,9.91,63.83,cBioPortal,,
MT1IP,644314,,,,BRCA,121,635,1070,11.31,59.35,cBioPortal,,
FDFT1,2222,3,1009,0.30,BRCA,147,561,1070,13.74,52.43,cBioPortal,,
GPT2,84706,5,1009,0.50,BRCA,174,563,1070,16.26,52.62,cBioPortal,,
RCVRN,5957,2,1009,0.20,BRCA,54,646,1070,5.05,60.37,cBioPortal,,
SLC22A31,146429,,,,BRCA,109,681,1070,10.19,63.64,cBioPortal,,
POLR3D,661,2,1009,0.20,BRCA,146,572,1070,13.64,53.46,cBioPortal,,
ATP2A3,489,3,1009,0.30,BRCA,74,618,1070,6.92,57.76,cBioPortal,,
CRK,1398,1,1009,0.10,BRCA,74,614,1070,6.92,57.38,cBioPortal,,
SERPINF1,5176,4,1009,0.40,BRCA,70,619,1070,6.54,57.85,cBioPortal,,
SPAG11B,10407,,,,BRCA,150,561,1070,14.02,52.43,cBioPortal,,
CNOT7,29883,,,,BRCA,147,563,1070,13.74,52.62,cBioPortal,,
LOC392196,392196,,,,BRCA,147,561,1070,13.74,52.43,cBioPortal,,
PITPNM3,83394,2,1009,0.20,BRCA,57,640,1070,5.33,59.81,cBioPortal,,
GNAO1-AS1,26077,,,,BRCA,120,633,1070,11.21,59.16,cBioPortal,,
TCF25,22980,3,1009,0.30,BRCA,106,683,1070,9.91,63.83,cBioPortal,,
GLTPD2,388323,1,1009,0.10,BRCA,72,619,1070,6.73,57.85,cBioPortal,,
SAT2,112483,2,1009,0.20,BRCA,54,650,1070,5.05,60.75,cBioPortal,,
TNFRSF13B,23495,1,1009,0.10,BRCA,78,592,1070,7.29,55.33,cBioPortal,,
LINC00919,100505619,,,,BRCA,145,596,1070,13.55,55.70,cBioPortal,,
MYH2,4620,10,1009,0.99,BRCA,53,640,1070,4.95,59.81,cBioPortal,,
MED31,51003,,,,BRCA,55,641,1070,5.14,59.91,cBioPortal,,
ZNF287,57336,3,1009,0.30,BRCA,73,603,1070,6.82,56.36,cBioPortal,,
hsa-mir-548v,,,,,BRCA,153,556,1070,14.30,51.96,cBioPortal,,
ACADVL,37,3,1009,0.30,BRCA,54,649,1070,5.05,60.65,cBioPortal,,
HS3ST3B1,9953,,,,BRCA,58,625,1070,5.42,58.41,cBioPortal,,
NAT1,9,2,1009,0.20,BRCA,155,556,1070,14.49,51.96,cBioPortal,,
MYOCD-AS1,101928418,,,,BRCA,55,636,1070,5.14,59.44,cBioPortal,,
FOXF1,2294,,,,BRCA,103,680,1070,9.63,63.55,cBioPortal,Yes,Yes
MT1DP,326343,,,,BRCA,121,636,1070,11.31,59.44,cBioPortal,,
GLG1,2734,9,1009,0.89,BRCA,108,662,1070,10.09,61.87,cBioPortal,,
CDRT4,284040,2,1009,0.20,BRCA,58,625,1070,5.42,58.41,cBioPortal,,
ZNF778,197320,4,1009,0.40,BRCA,109,681,1070,10.19,63.64,cBioPortal,,
GEMIN4,50628,5,1009,0.50,BRCA,74,618,1070,6.92,57.76,cBioPortal,,
CRNDE,643911,,,,BRCA,142,599,1070,13.27,55.98,cBioPortal,,
MEIS3P1,4213,,,,BRCA,62,622,1070,5.79,58.13,cBioPortal,,
ZNF18,7566,2,1009,0.20,BRCA,55,640,1070,5.14,59.81,cBioPortal,,
MIR195,406971,,,,BRCA,53,651,1070,4.95,60.84,cBioPortal,,
WRAP53,55135,3,1009,0.30,BRCA,53,652,1070,4.95,60.93,cBioPortal,,
PDPR,55066,7,1009,0.69,BRCA,104,660,1070,9.72,61.68,cBioPortal,,
USP6,9098,7,1009,0.69,BRCA,68,624,1070,6.36,58.32,cBioPortal,Yes,No
MIR3622A,100500858,,,,BRCA,156,560,1070,14.58,52.34,cBioPortal,,
SPDYE4,388333,3,1009,0.30,BRCA,58,642,1070,5.42,60.00,cBioPortal,,
ADAMDEC1,27299,4,1009,0.40,BRCA,149,573,1070,13.93,53.55,cBioPortal,,
MIR1322,100302166,,,,BRCA,150,554,1070,14.02,51.78,cBioPortal,,
MT1X,4501,,,,BRCA,122,634,1070,11.40,59.25,cBioPortal,,
OSGIN1,29948,2,1009,0.20,BRCA,98,686,1070,9.16,64.11,cBioPortal,,
LOC728392,728392,,,,BRCA,64,627,1070,5.98,58.60,cBioPortal,,
C17orf100,388327,,,,BRCA,55,641,1070,5.14,59.91,cBioPortal,,
CDH13,1012,6,1009,0.59,BRCA,100,685,1070,9.35,64.02,cBioPortal,,
DEFA11P,724068,,,,BRCA,150,561,1070,14.02,52.43,cBioPortal,,
COTL1,23406,2,1009,0.20,BRCA,102,686,1070,9.53,64.11,cBioPortal,,
ELMO3,79767,1,1009,0.10,BRCA,97,668,1070,9.07,62.43,cBioPortal,,
PRMT7,54496,2,1009,0.20,BRCA,106,666,1070,9.91,62.24,cBioPortal,,
CMTM1,113540,,,,BRCA,97,665,1070,9.07,62.15,cBioPortal,,
PPP2R2A,5520,2,1009,0.20,BRCA,147,573,1070,13.74,53.55,cBioPortal,No,Yes
HSALR1,100289580,,,,BRCA,109,681,1070,10.19,63.64,cBioPortal,,
AMFR,267,,,,BRCA,120,636,1070,11.21,59.44,cBioPortal,,
SLC7A2,6542,2,1009,0.20,BRCA,151,560,1070,14.11,52.34,cBioPortal,,
NXN,64359,4,1009,0.40,BRCA,74,618,1070,6.92,57.76,cBioPortal,,
MYO1C,4641,6,1009,0.59,BRCA,71,616,1070,6.64,57.57,cBioPortal,,
MIR33B,693120,,,,BRCA,81,579,1070,7.57,54.11,cBioPortal,,
TAF1C,9013,4,1009,0.40,BRCA,102,686,1070,9.53,64.11,cBioPortal,,
BRD7,29117,7,1009,0.69,BRCA,147,592,1070,13.74,55.33,cBioPortal,,
C16orf46,123775,1,1009,0.10,BRCA,98,680,1070,9.16,63.55,cBioPortal,,
NUDT7,283927,3,1009,0.30,BRCA,104,675,1070,9.72,63.08,cBioPortal,,
MIR6876,102465527,,,,BRCA,144,574,1070,13.46,53.64,cBioPortal,,
MIR1910,100302261,,,,BRCA,103,682,1070,9.63,63.74,cBioPortal,,
WWP2,11060,13,1009,1.29,BRCA,108,658,1070,10.09,61.50,cBioPortal,,
DEFA1,1667,,,,BRCA,150,561,1070,14.02,52.43,cBioPortal,,
OR1D2,4991,1,1009,0.10,BRCA,68,619,1070,6.36,57.85,cBioPortal,,
DOC2B,8447,,,,BRCA,74,618,1070,6.92,57.76,cBioPortal,,
MPRIP,23164,3,1009,0.30,BRCA,82,588,1070,7.66,54.95,cBioPortal,,
VAC14-AS1,100130894,,,,BRCA,102,661,1070,9.53,61.78,cBioPortal,,
CHST5,23563,2,1009,0.20,BRCA,108,667,1070,10.09,62.34,cBioPortal,,
TLCD2,727910,,,,BRCA,70,618,1070,6.54,57.76,cBioPortal,,
ESRP2,80004,6,1009,0.59,BRCA,104,667,1070,9.72,62.34,cBioPortal,,
HERPUD1,9709,3,1009,0.30,BRCA,118,638,1070,11.03,59.63,cBioPortal,No,No
LINC00599,157627,,,,BRCA,150,556,1070,14.02,51.96,cBioPortal,,
LINC02192,100507534,,,,BRCA,176,561,1070,16.45,52.43,cBioPortal,,
CYBA,1535,,,,BRCA,109,681,1070,10.19,63.64,cBioPortal,,
FAM86B1,85002,2,1009,0.20,BRCA,147,561,1070,13.74,52.43,cBioPortal,,
hsa-mir-548h-4,,,,,BRCA,151,569,1070,14.11,53.18,cBioPortal,,
SPAG7,9552,1,1009,0.10,BRCA,71,620,1070,6.64,57.94,cBioPortal,,
CDYL2,124359,3,1009,0.30,BRCA,96,682,1070,8.97,63.74,cBioPortal,,
MIR22HG,84981,,,,BRCA,70,618,1070,6.54,57.76,cBioPortal,,
HS3ST3A1,9955,2,1009,0.20,BRCA,53,631,1070,4.95,58.97,cBioPortal,,
SLC25A11,8402,1,1009,0.10,BRCA,72,619,1070,6.73,57.85,cBioPortal,,
PKD1L2,114780,14,1009,1.39,BRCA,98,680,1070,9.16,63.55,cBioPortal,,
MIR383,494332,,,,BRCA,147,563,1070,13.74,52.62,cBioPortal,,
DDX19A-DT,100506083,,,,BRCA,104,660,1070,9.72,61.68,cBioPortal,,
DVL2,1856,3,1009,0.30,BRCA,54,649,1070,5.05,60.65,cBioPortal,,
CDRT7,94150,,,,BRCA,58,625,1070,5.42,58.41,cBioPortal,,
TRPV2,51393,8,1009,0.79,BRCA,73,607,1070,6.82,56.73,cBioPortal,,
ZNF23,7571,4,1009,0.40,BRCA,105,659,1070,9.81,61.59,cBioPortal,,
hsa-mir-4286,,,,,BRCA,150,555,1070,14.02,51.87,cBioPortal,,
C17orf97,400566,2,1009,0.20,BRCA,74,618,1070,6.92,57.76,cBioPortal,,
DEFB107A,245910,,,,BRCA,150,561,1070,14.02,52.43,cBioPortal,,
MT1A,4489,,,,BRCA,120,637,1070,11.21,59.53,cBioPortal,,
LOC649352,649352,,,,BRCA,147,561,1070,13.74,52.43,cBioPortal,,
INCA1,388324,1,1009,0.10,BRCA,70,621,1070,6.54,58.04,cBioPortal,,
PITPNA,5306,,,,BRCA,69,617,1070,6.45,57.66,cBioPortal,,
TBC1D28,254272,4,1009,0.40,BRCA,89,567,1070,8.32,52.99,cBioPortal,,
RPGRIP1L,23322,10,1009,0.99,BRCA,149,597,1070,13.93,55.79,cBioPortal,,
MTSS1L,92154,,,,BRCA,104,657,1070,9.72,61.40,cBioPortal,,
CCL17,6361,1,1009,0.10,BRCA,114,639,1070,10.65,59.72,cBioPortal,,
MIR7854,102465840,,,,BRCA,100,679,1070,9.35,63.46,cBioPortal,,
KIAA1456,57604,,,,BRCA,150,555,1070,14.02,51.87,cBioPortal,,
NLRC5,84166,14,1009,1.39,BRCA,119,640,1070,11.12,59.81,cBioPortal,,
ALKBH5,54890,5,1009,0.50,BRCA,89,565,1070,8.32,52.80,cBioPortal,,
ZCCHC14,23174,2,1009,0.20,BRCA,102,684,1070,9.53,63.93,cBioPortal,,
RNASEK,440400,1,1009,0.10,BRCA,54,650,1070,5.05,60.75,cBioPortal,,
CCDC102A,92922,1,1009,0.10,BRCA,113,640,1070,10.56,59.81,cBioPortal,,
MT4,84560,1,1009,0.10,BRCA,121,637,1070,11.31,59.53,cBioPortal,,
GUCY2D,3000,4,1009,0.40,BRCA,56,646,1070,5.23,60.37,cBioPortal,,
LONP2,83752,6,1009,0.59,BRCA,175,567,1070,16.36,52.99,cBioPortal,,
OR3A1,4994,5,1009,0.50,BRCA,71,616,1070,6.64,57.57,cBioPortal,,
WSCD1,23302,2,1009,0.20,BRCA,62,635,1070,5.79,59.35,cBioPortal,,
LINC02135,146513,,,,BRCA,103,681,1070,9.63,63.64,cBioPortal,,
SLC12A4,6560,3,1009,0.30,BRCA,98,668,1070,9.16,62.43,cBioPortal,,
TNFRSF10B-AS1,286059,,,,BRCA,143,581,1070,13.36,54.30,cBioPortal,,
OR3A2,4995,2,1009,0.20,BRCA,71,616,1070,6.64,57.57,cBioPortal,,
PITPNA-AS1,100306951,,,,BRCA,71,615,1070,6.64,57.48,cBioPortal,,
MYH3,4621,8,1009,0.79,BRCA,54,639,1070,5.05,59.72,cBioPortal,,
TMEM256-PLSCR3,100529211,2,1009,0.20,BRCA,54,648,1070,5.05,60.56,cBioPortal,,
LOC388282,388282,,,,BRCA,106,648,1070,9.91,60.56,cBioPortal,,
KIAA0753,9851,3,1009,0.30,BRCA,56,640,1070,5.23,59.81,cBioPortal,,
LZTS1,11178,5,1009,0.50,BRCA,144,569,1070,13.46,53.18,cBioPortal,,
MIR5189,100847057,,,,BRCA,109,681,1070,10.19,63.64,cBioPortal,,
GPS2,2874,12,1009,1.19,BRCA,54,648,1070,5.05,60.56,cBioPortal,No,Yes
ARRB2,409,1,1009,0.10,BRCA,71,622,1070,6.64,58.13,cBioPortal,,
ACAP1,9744,4,1009,0.40,BRCA,54,648,1070,5.05,60.56,cBioPortal,,
PELP1,27043,4,1009,0.40,BRCA,73,620,1070,6.82,57.94,cBioPortal,,
HES7,84667,,,,BRCA,56,645,1070,5.23,60.28,cBioPortal,,
NUDT21,11051,1,1009,0.10,BRCA,119,636,1070,11.12,59.44,cBioPortal,,
NFAT5,10725,8,1009,0.79,BRCA,107,660,1070,10.00,61.68,cBioPortal,,
FGF17,8822,,,,BRCA,146,572,1070,13.64,53.46,cBioPortal,,
EGR3,1960,4,1009,0.40,BRCA,145,578,1070,13.55,54.02,cBioPortal,,
SLC35G5,83650,1,1009,0.10,BRCA,147,555,1070,13.74,51.87,cBioPortal,,
PDP2,57546,3,1009,0.30,BRCA,97,665,1070,9.07,62.15,cBioPortal,,
TUSC3,7991,3,1009,0.30,BRCA,150,560,1070,14.02,52.34,cBioPortal,No,No
MIR6777,102465466,,,,BRCA,81,579,1070,7.57,54.11,cBioPortal,,
AGRP,181,,,,BRCA,94,673,1070,8.79,62.90,cBioPortal,,
MT1JP,4498,,,,BRCA,120,637,1070,11.21,59.53,cBioPortal,,
LINC00324,284029,,,,BRCA,56,644,1070,5.23,60.19,cBioPortal,,
VPS53,55275,8,1009,0.79,BRCA,74,618,1070,6.92,57.76,cBioPortal,,
LOXL2-AS1,100507156,,,,BRCA,145,579,1070,13.55,54.11,cBioPortal,,
PHF23,79142,3,1009,0.30,BRCA,54,649,1070,5.05,60.65,cBioPortal,,
GPR56,9289,,,,BRCA,113,641,1070,10.56,59.91,cBioPortal,,
HSD17B2,3294,4,1009,0.40,BRCA,99,680,1070,9.25,63.55,cBioPortal,No,Yes
SLC2A4,6517,2,1009,0.20,BRCA,54,649,1070,5.05,60.65,cBioPortal,,
MIR597,693182,,,,BRCA,150,555,1070,14.02,51.87,cBioPortal,,
ADCY7,113,11,1009,1.09,BRCA,143,597,1070,13.36,55.79,cBioPortal,,
SNX20,124460,1,1009,0.10,BRCA,147,594,1070,13.74,55.51,cBioPortal,,
FA2H,79152,,,,BRCA,108,663,1070,10.09,61.96,cBioPortal,,
MIR4719,100616172,,,,BRCA,99,673,1070,9.25,62.90,cBioPortal,,
CKLF,51192,3,1009,0.30,BRCA,97,665,1070,9.07,62.15,cBioPortal,,
E2F4,1874,4,1009,0.40,BRCA,97,668,1070,9.07,62.43,cBioPortal,,
MIR1972-1,100302243,,,,BRCA,104,660,1070,9.72,61.68,cBioPortal,,
SNAI3-AS1,197187,,,,BRCA,109,681,1070,10.19,63.64,cBioPortal,,
AURKB,9212,2,1009,0.20,BRCA,56,644,1070,5.23,60.19,cBioPortal,Yes,No
THAP11,57215,1,1009,0.10,BRCA,96,671,1070,8.97,62.71,cBioPortal,,
PIWIL2,55124,10,1009,0.99,BRCA,147,574,1070,13.74,53.64,cBioPortal,,
FAM86B3P,286042,,,,BRCA,150,561,1070,14.02,52.43,cBioPortal,,
ALOXE3,59344,8,1009,0.79,BRCA,56,645,1070,5.23,60.28,cBioPortal,,
C1QBP,708,,,,BRCA,63,628,1070,5.89,58.69,cBioPortal,,
ALOX15,246,4,1009,0.40,BRCA,72,621,1070,6.73,58.04,cBioPortal,,
SREBF1,6720,4,1009,0.40,BRCA,81,579,1070,7.57,54.11,cBioPortal,,
TM4SF5,9032,,,,BRCA,72,619,1070,6.73,57.85,cBioPortal,,
PHYHIP,9796,2,1009,0.20,BRCA,146,572,1070,13.64,53.46,cBioPortal,,
CHMP1A,5119,1,1009,0.10,BRCA,106,683,1070,9.91,63.83,cBioPortal,,
CCDC79,283847,,,,BRCA,98,665,1070,9.16,62.15,cBioPortal,,
TRADD,8717,1,1009,0.10,BRCA,97,669,1070,9.07,62.52,cBioPortal,,
HPR,3250,2,1009,0.20,BRCA,105,666,1070,9.81,62.24,cBioPortal,,
SMCR8,140775,5,1009,0.50,BRCA,87,566,1070,8.13,52.90,cBioPortal,,
DDX28,55794,1,1009,0.10,BRCA,99,667,1070,9.25,62.34,cBioPortal,,
GLP2R,9340,3,1009,0.30,BRCA,54,647,1070,5.05,60.47,cBioPortal,,
DEFB104A,140596,,,,BRCA,150,561,1070,14.02,52.43,cBioPortal,,
FGL1,2267,2,1009,0.20,BRCA,152,557,1070,14.21,52.06,cBioPortal,,
OR3A3,8392,1,1009,0.10,BRCA,70,618,1070,6.54,57.76,cBioPortal,,
NEURL4,84461,6,1009,0.59,BRCA,54,648,1070,5.05,60.56,cBioPortal,,
YWHAE,7531,,,,BRCA,75,618,1070,7.01,57.76,cBioPortal,No,No
CNEP1R1,255919,1,1009,0.10,BRCA,146,594,1070,13.64,55.51,cBioPortal,,
