n,hugo_symbol_a,entrez_gene_id_a,hugo_symbol_b,entrez_gene_id_b,spearmancorr,spearmanp,pearsoncorr,pearsonp,spearmancorrsquare,pearsoncorrsquare,cancer_type,dataset_name,is_oncogene_a,is_tumor_suppressor_gene_a,is_oncogene_b,is_tumor_suppressor_gene_b
48,A1BG,1,ACSL4,2182,-0.567,0,-0.297,0.04,0.321,0.088,DLBC,cBioPortal,,,,
48,A1BG,1,ACSM1,116285,0.057,0.7,0.221,0.131,0.003,0.049,DLBC,cBioPortal,,,,
48,A1BG,1,ACTL6A,86,-0.496,0,-0.558,0,0.246,0.312,DLBC,cBioPortal,,,,
48,A1BG,1,ACTL6B,51412,0.019,0.897,0.366,0.01,0,0.134,DLBC,cBioPortal,,,,
48,A1BG,1,ACTL8,81569,-0.258,0.076,0.36,0.012,0.067,0.13,DLBC,cBioPortal,,,,
48,A1BG,1,ACTN1,87,-0.309,0.032,-0.374,0.009,0.096,0.14,DLBC,cBioPortal,,,,
48,A1BG,1,ACTN2,88,0.304,0.036,0.323,0.025,0.092,0.104,DLBC,cBioPortal,,,,
48,A1BG,1,ACTN4,81,-0.252,0.084,-0.217,0.138,0.064,0.047,DLBC,cBioPortal,,,,
48,A1BG,1,ACTR10,55860,0.399,0.005,0.366,0.011,0.159,0.134,DLBC,cBioPortal,,,,
48,A1BG,1,ACTR1A,10121,0.353,0.014,0.291,0.045,0.125,0.085,DLBC,cBioPortal,,,,
48,A1BG,1,ACTR1B,10120,0.476,0.001,0.376,0.008,0.226,0.142,DLBC,cBioPortal,,,,
48,A1BG,1,ACTR2,10097,-0.453,0.001,-0.38,0.008,0.205,0.145,DLBC,cBioPortal,,,,
48,A1BG,1,ACTR3,10096,-0.265,0.069,-0.313,0.03,0.07,0.098,DLBC,cBioPortal,,,,
48,A1BG,1,ACTR5,79913,0.474,0.001,0.457,0.001,0.225,0.209,DLBC,cBioPortal,,,,
48,A1BG,1,ACTR6,64431,-0.401,0.005,-0.463,0.001,0.161,0.214,DLBC,cBioPortal,,,,
48,A1BG,1,ACVR1,90,-0.523,0,-0.511,0,0.273,0.261,DLBC,cBioPortal,,,Yes,No
48,A1BG,1,ACVR1B,91,-0.366,0.011,-0.404,0.004,0.134,0.163,DLBC,cBioPortal,,,No,Yes
48,A1BG,1,ACVR2A,92,0.314,0.03,0.353,0.014,0.099,0.125,DLBC,cBioPortal,,,No,No
48,A1BG,1,ACY1,95,0.471,0.001,0.393,0.006,0.221,0.154,DLBC,cBioPortal,,,,
48,A1BG,1,ACY3,91703,0.233,0.111,0.3,0.038,0.054,0.09,DLBC,cBioPortal,,,,
48,A1BG,1,ADAM10,102,-0.667,0,-0.577,0,0.445,0.333,DLBC,cBioPortal,,,,
48,A1BG,1,ADAM11,4185,0.228,0.12,0.273,0.06,0.052,0.075,DLBC,cBioPortal,,,,
48,A1BG,1,ADAM12,8038,-0.2,0.173,-0.26,0.074,0.04,0.068,DLBC,cBioPortal,,,,
48,A1BG,1,ADAM17,6868,-0.615,0,-0.585,0,0.378,0.342,DLBC,cBioPortal,,,,
48,A1BG,1,ADAM19,8728,-0.49,0,-0.431,0.002,0.24,0.186,DLBC,cBioPortal,,,,
48,A1BG,1,ADAM29,11086,0.226,0.123,0.421,0.003,0.051,0.177,DLBC,cBioPortal,,,,
48,A1BG,1,ADAM5P,255926,-0.086,0.56,0.215,0.142,0.007,0.046,DLBC,cBioPortal,,,,
48,A1BG,1,ADAM7,8756,0.066,0.656,0.285,0.049,0.004,0.081,DLBC,cBioPortal,,,,
48,A1BG,1,ADAM8,101,-0.196,0.181,-0.253,0.083,0.039,0.064,DLBC,cBioPortal,,,,
48,A1BG,1,ADAM9,8754,-0.607,0,-0.575,0,0.368,0.33,DLBC,cBioPortal,,,,
48,A1BG,1,ADAMDEC1,27299,-0.183,0.214,-0.235,0.108,0.033,0.055,DLBC,cBioPortal,,,,
48,A1BG,1,ADAMTS12,81792,-0.429,0.002,-0.312,0.031,0.184,0.098,DLBC,cBioPortal,,,,
48,A1BG,1,ADAMTS13,11093,0.321,0.026,0.242,0.097,0.103,0.059,DLBC,cBioPortal,,,,
48,A1BG,1,ADAMTS15,170689,-0.19,0.195,-0.236,0.107,0.036,0.055,DLBC,cBioPortal,,,,
48,A1BG,1,ADAMTS1,9510,-0.402,0.005,-0.299,0.039,0.161,0.089,DLBC,cBioPortal,,,,
48,A1BG,1,ADAMTS2,9509,-0.359,0.012,-0.266,0.068,0.129,0.07,DLBC,cBioPortal,,,,
48,A1BG,1,ADAMTS6,11174,-0.394,0.006,-0.311,0.032,0.155,0.097,DLBC,cBioPortal,,,,
48,A1BG,1,ADAMTS9,56999,-0.362,0.012,-0.258,0.076,0.131,0.067,DLBC,cBioPortal,,,,
48,A1BG,1,ADAMTSL1,92949,-0.333,0.021,-0.266,0.068,0.111,0.071,DLBC,cBioPortal,,,,
48,A1BG,1,ADAMTSL2,9719,0.282,0.052,0.243,0.096,0.079,0.059,DLBC,cBioPortal,,,,
48,A1BG,1,ADAMTSL4,54507,-0.346,0.016,-0.358,0.013,0.12,0.128,DLBC,cBioPortal,,,,
48,A1BG,1,ADAP1,11033,-0.126,0.394,-0.216,0.141,0.016,0.047,DLBC,cBioPortal,,,,
48,A1BG,1,ADAP2,55803,-0.22,0.133,-0.232,0.113,0.049,0.054,DLBC,cBioPortal,,,,
48,A1BG,1,ADAR,103,-0.405,0.004,-0.383,0.007,0.164,0.147,DLBC,cBioPortal,,,,
48,A1BG,1,ADARB2,105,0.165,0.264,0.241,0.099,0.027,0.058,DLBC,cBioPortal,,,,
48,A1BG,1,ADAT1,23536,-0.59,0,-0.519,0,0.348,0.269,DLBC,cBioPortal,,,,
48,A1BG,1,ADAT2,134637,-0.271,0.062,-0.227,0.121,0.074,0.051,DLBC,cBioPortal,,,,
48,A1BG,1,ADCK1,57143,0.391,0.006,0.343,0.017,0.153,0.117,DLBC,cBioPortal,,,,
48,A1BG,1,ADCK2,90956,0.421,0.003,0.417,0.003,0.177,0.174,DLBC,cBioPortal,,,,
48,A1BG,1,ADCK4,79934,0.498,0,0.471,0.001,0.248,0.222,DLBC,cBioPortal,,,,
48,A1BG,1,ADCK5,203054,0.478,0.001,0.429,0.002,0.229,0.184,DLBC,cBioPortal,,,,
48,A1BG,1,ADCY6,112,-0.13,0.38,-0.244,0.095,0.017,0.059,DLBC,cBioPortal,,,,
48,A1BG,1,ADCY7,113,-0.479,0.001,-0.469,0.001,0.229,0.22,DLBC,cBioPortal,,,,
48,A1BG,1,ADCY8,114,0.033,0.823,0.379,0.008,0.001,0.144,DLBC,cBioPortal,,,,
48,A1BG,1,ADCY9,115,-0.131,0.374,-0.226,0.123,0.017,0.051,DLBC,cBioPortal,,,,
48,A1BG,1,ADCYAP1R1,117,-0.343,0.017,-0.264,0.069,0.118,0.07,DLBC,cBioPortal,,,,
48,A1BG,1,ADD1,118,-0.177,0.23,-0.238,0.104,0.031,0.057,DLBC,cBioPortal,,,,
48,A1BG,1,ADD3,120,-0.276,0.058,-0.28,0.054,0.076,0.078,DLBC,cBioPortal,,,,
48,A1BG,1,ADI1,55256,0.258,0.077,0.313,0.03,0.066,0.098,DLBC,cBioPortal,,,,
48,A1BG,1,ADIG,149685,0.25,0.086,0.36,0.012,0.063,0.129,DLBC,cBioPortal,,,,
48,A1BG,1,ADIPOR1,51094,-0.382,0.007,-0.384,0.007,0.146,0.148,DLBC,cBioPortal,,,,
48,A1BG,1,ADIPOR2,79602,-0.28,0.054,-0.233,0.111,0.079,0.054,DLBC,cBioPortal,,,,
48,A1BG,1,ADNP2,22850,-0.518,0,-0.501,0,0.268,0.251,DLBC,cBioPortal,,,,
48,A1BG,1,ADNP,23394,-0.526,0,-0.585,0,0.276,0.343,DLBC,cBioPortal,,,,
48,A1BG,1,ADORA1,134,0.202,0.168,0.378,0.008,0.041,0.143,DLBC,cBioPortal,,,,
48,A1BG,1,ADORA2A,135,0.234,0.11,0.352,0.014,0.055,0.124,DLBC,cBioPortal,,,,
48,A1BG,1,ADORA2B,136,-0.245,0.093,-0.272,0.061,0.06,0.074,DLBC,cBioPortal,,,,
48,A1BG,1,ADPGK,83440,-0.517,0,-0.537,0,0.267,0.289,DLBC,cBioPortal,,,,
48,A1BG,1,ADPRHL2,54936,0.516,0,0.575,0,0.267,0.33,DLBC,cBioPortal,,,,
48,A1BG,1,ADRA1B,147,0.16,0.278,0.273,0.06,0.026,0.075,DLBC,cBioPortal,,,,
48,A1BG,1,ADRA1D,146,-0.321,0.026,-0.293,0.043,0.103,0.086,DLBC,cBioPortal,,,,
48,A1BG,1,ADRM1,11047,0.453,0.001,0.461,0.001,0.206,0.213,DLBC,cBioPortal,,,,
48,A1BG,1,ADSL,158,0.343,0.017,0.45,0.001,0.118,0.202,DLBC,cBioPortal,,,,
48,A1BG,1,ADSS,159,-0.516,0,-0.462,0.001,0.266,0.213,DLBC,cBioPortal,,,,
48,A1BG,1,ADSSL1,122622,0.243,0.096,0.441,0.002,0.059,0.195,DLBC,cBioPortal,,,,
48,A1BG,1,AEBP2,121536,-0.493,0,-0.433,0.002,0.243,0.187,DLBC,cBioPortal,,,,
48,A1BG,1,AES,166,0.605,0,0.601,0,0.366,0.361,DLBC,cBioPortal,,,,
48,A1BG,1,AFAP1,60312,-0.362,0.011,-0.399,0.005,0.131,0.159,DLBC,cBioPortal,,,,
48,A1BG,1,AFAP1L1,134265,-0.474,0.001,-0.448,0.001,0.224,0.201,DLBC,cBioPortal,,,,
48,A1BG,1,AFAP1L2,84632,-0.422,0.003,-0.463,0.001,0.178,0.215,DLBC,cBioPortal,,,,
48,A1BG,1,AFF1,4299,-0.448,0.001,-0.445,0.002,0.201,0.198,DLBC,cBioPortal,,,No,No
48,A1BG,1,AFF3,3899,-0.412,0.004,-0.401,0.005,0.17,0.161,DLBC,cBioPortal,,,No,No
48,A1BG,1,AFF4,27125,-0.563,0,-0.499,0,0.317,0.249,DLBC,cBioPortal,,,Yes,No
48,A1BG,1,AFG3L1,172,-0.358,0.012,-0.282,0.052,0.128,0.08,DLBC,cBioPortal,,,,
48,A1BG,1,AFG3L2,10939,-0.231,0.114,-0.245,0.094,0.054,0.06,DLBC,cBioPortal,,,,
48,A1BG,1,AFP,174,0.019,0.9,0.301,0.038,0,0.091,DLBC,cBioPortal,,,,
48,A1BG,1,AFTPH,54812,-0.436,0.002,-0.36,0.012,0.19,0.13,DLBC,cBioPortal,,,,
48,A1BG,1,C11orf96,387763,0.148,0.317,0.272,0.061,0.022,0.074,DLBC,cBioPortal,,,,
48,A1BG,1,AGAP1,116987,-0.273,0.061,-0.248,0.09,0.074,0.061,DLBC,cBioPortal,,,,
48,A1BG,1,AGAP2,116986,-0.15,0.31,-0.215,0.141,0.022,0.046,DLBC,cBioPortal,,,,
48,A1BG,1,AGAP4,119016,-0.296,0.041,-0.299,0.039,0.088,0.089,DLBC,cBioPortal,,,,
48,A1BG,1,AGAP5,729092,-0.531,0,-0.47,0.001,0.282,0.221,DLBC,cBioPortal,,,,
48,A1BG,1,AGAP6,414189,-0.378,0.008,-0.347,0.016,0.143,0.121,DLBC,cBioPortal,,,,
48,A1BG,1,AGAP8,728404,-0.451,0.001,-0.429,0.002,0.203,0.184,DLBC,cBioPortal,,,,
48,A1BG,1,AGBL5,60509,0.266,0.067,0.356,0.013,0.071,0.127,DLBC,cBioPortal,,,,
48,A1BG,1,AGER,177,0.24,0.101,0.208,0.155,0.058,0.043,DLBC,cBioPortal,,,,
48,A1BG,1,AGGF1,55109,-0.467,0.001,-0.394,0.006,0.218,0.155,DLBC,cBioPortal,,,,
48,A1BG,1,AGK,55750,-0.601,0,-0.575,0,0.361,0.331,DLBC,cBioPortal,,,,
48,A1BG,1,AGPAT1,10554,0.541,0,0.521,0,0.292,0.271,DLBC,cBioPortal,,,,
48,A1BG,1,AGPAT2,10555,0.468,0.001,0.455,0.001,0.219,0.207,DLBC,cBioPortal,,,,
48,A1BG,1,AGPAT6,137964,0.237,0.105,0.286,0.049,0.056,0.082,DLBC,cBioPortal,,,,
48,A1BG,1,AGPS,8540,-0.506,0,-0.5,0,0.256,0.25,DLBC,cBioPortal,,,,
48,A1BG,1,AGRP,181,-0.172,0.243,0.333,0.021,0.029,0.111,DLBC,cBioPortal,,,,
48,A1BG,1,AGT,183,-0.038,0.797,0.346,0.016,0.001,0.12,DLBC,cBioPortal,,,,
48,A1BG,1,AGTPBP1,23287,-0.549,0,-0.524,0,0.301,0.275,DLBC,cBioPortal,,,,
48,A1BG,1,AHCTF1,25909,-0.698,0,-0.578,0,0.488,0.334,DLBC,cBioPortal,,,,
48,A1BG,1,AHCY,191,0.19,0.196,0.246,0.092,0.036,0.061,DLBC,cBioPortal,,,,
48,A1BG,1,AHCYL1,10768,-0.588,0,-0.542,0,0.346,0.294,DLBC,cBioPortal,,,,
48,A1BG,1,AHCYL2,23382,-0.415,0.003,-0.393,0.006,0.172,0.154,DLBC,cBioPortal,,,,
48,A1BG,1,AHNAK,79026,-0.421,0.003,-0.37,0.01,0.177,0.137,DLBC,cBioPortal,,,,
48,A1BG,1,AHR,196,-0.398,0.005,-0.396,0.005,0.159,0.157,DLBC,cBioPortal,,,,
48,A1BG,1,AHSP,51327,0.064,0.668,0.288,0.047,0.004,0.083,DLBC,cBioPortal,,,,
48,A1BG,1,AIDA,64853,0.232,0.113,0.297,0.041,0.054,0.088,DLBC,cBioPortal,,,,
48,A1BG,1,AIF1L,83543,0.077,0.601,0.304,0.036,0.006,0.092,DLBC,cBioPortal,,,,
48,A1BG,1,AIFM2,84883,0.214,0.144,0.219,0.136,0.046,0.048,DLBC,cBioPortal,,,,
48,A1BG,1,AIG1,51390,0.139,0.347,0.227,0.121,0.019,0.052,DLBC,cBioPortal,,,,
48,A1BG,1,AIM1,202,-0.353,0.014,-0.382,0.007,0.124,0.146,DLBC,cBioPortal,,,,
48,A1BG,1,AIM1L,55057,0.334,0.02,0.274,0.06,0.111,0.075,DLBC,cBioPortal,,,,
48,A1BG,1,AIMP1,9255,0.292,0.044,0.382,0.007,0.085,0.146,DLBC,cBioPortal,,,,
48,A1BG,1,AIMP2,7965,0.273,0.061,0.367,0.01,0.074,0.135,DLBC,cBioPortal,,,,
48,A1BG,1,AIP,9049,0.586,0,0.502,0,0.343,0.252,DLBC,cBioPortal,,,,
48,A1BG,1,AJAP1,55966,-0.219,0.134,-0.205,0.163,0.048,0.042,DLBC,cBioPortal,,,,
48,A1BG,1,AK1,203,0.415,0.003,0.502,0,0.172,0.252,DLBC,cBioPortal,,,,
48,A1BG,1,AK2,204,0.141,0.339,0.26,0.075,0.02,0.068,DLBC,cBioPortal,,,,
48,A1BG,1,AK3,50808,-0.456,0.001,-0.46,0.001,0.208,0.211,DLBC,cBioPortal,,,,
48,A1BG,1,AK5,26289,0.169,0.251,0.334,0.02,0.028,0.112,DLBC,cBioPortal,,,,
48,A1BG,1,AKAP10,11216,-0.575,0,-0.607,0,0.331,0.369,DLBC,cBioPortal,,,,
48,A1BG,1,AKAP11,11215,-0.503,0,-0.479,0.001,0.253,0.23,DLBC,cBioPortal,,,,
48,A1BG,1,AKAP13,11214,-0.258,0.077,-0.321,0.026,0.067,0.103,DLBC,cBioPortal,,,,
48,A1BG,1,AKAP1,8165,-0.544,0,-0.412,0.004,0.296,0.17,DLBC,cBioPortal,,,,
48,A1BG,1,PALM2AKAP2,445815,-0.6,0,-0.36,0.012,0.36,0.13,DLBC,cBioPortal,,,,
48,A1BG,1,AKAP8L,26993,0.675,0,0.634,0,0.456,0.402,DLBC,cBioPortal,,,,
48,A1BG,1,AKAP9,10142,-0.546,0,-0.473,0.001,0.298,0.224,DLBC,cBioPortal,,,,
48,A1BG,1,AKD1,221264,-0.285,0.05,-0.33,0.022,0.081,0.109,DLBC,cBioPortal,,,,
48,A1BG,1,AKIRIN1,79647,-0.546,0,-0.552,0,0.299,0.304,DLBC,cBioPortal,,,,
48,A1BG,1,AKIRIN2,55122,0.173,0.238,0.251,0.085,0.03,0.063,DLBC,cBioPortal,,,,
48,A1BG,1,AKNA,80709,-0.189,0.198,-0.224,0.125,0.036,0.05,DLBC,cBioPortal,,,,
48,A1BG,1,AKR1A1,10327,0.388,0.006,0.273,0.06,0.151,0.075,DLBC,cBioPortal,,,,
48,A1BG,1,AKR1B1,231,0.193,0.189,0.207,0.157,0.037,0.043,DLBC,cBioPortal,,,,
48,A1BG,1,AKR7A2,8574,0.5,0,0.629,0,0.25,0.396,DLBC,cBioPortal,,,,
48,A1BG,1,AKT1,207,-0.327,0.023,-0.279,0.055,0.107,0.078,DLBC,cBioPortal,,,Yes,No
48,A1BG,1,AKT2,208,-0.263,0.071,-0.309,0.033,0.069,0.095,DLBC,cBioPortal,,,Yes,No
48,A1BG,1,AKT3,10000,-0.313,0.031,-0.362,0.011,0.098,0.131,DLBC,cBioPortal,,,Yes,No
48,A1BG,1,ALAD,210,-0.515,0,-0.471,0.001,0.265,0.222,DLBC,cBioPortal,,,,
48,A1BG,1,ALCAM,214,0.239,0.102,0.306,0.034,0.057,0.094,DLBC,cBioPortal,,,,
48,A1BG,1,ALDH18A1,5832,-0.326,0.024,-0.224,0.125,0.106,0.05,DLBC,cBioPortal,,,,
48,A1BG,1,ALDH1A3,220,-0.333,0.021,-0.328,0.023,0.111,0.107,DLBC,cBioPortal,,,,
48,A1BG,1,ALDH1B1,219,-0.205,0.161,-0.224,0.126,0.042,0.05,DLBC,cBioPortal,,,,
48,A1BG,1,ALDH1L2,160428,-0.502,0,-0.386,0.007,0.252,0.149,DLBC,cBioPortal,,,Yes,No
