entrez_gene_id,hugo_symbol,average_expression,number_of_tumour_samples,cancer_type,dataset_name,is_oncogene,is_tumor_suppressor_gene
2495,FTH1,43859.198627,510,KIRC,cBioPortal,,
5315,PKM2,30900.977396,181,ESCA,cBioPortal,,
1508,CTSB,42164.069752,484,LUSC,cBioPortal,,
8878,SQSTM1,43790.722678,366,LIHC,cBioPortal,Yes,No
4629,MYH11,80307.596858,253,SARC,cBioPortal,No,Yes
7178,TPT1,76722.497917,48,DLBC,cBioPortal,,
1915,EEF1A1,55068.802718,515,HNSC,cBioPortal,,
6386,SDCBP,31797.563750,80,UVM,cBioPortal,,
1938,EEF2,58220.963889,36,CHOL,cBioPortal,,
26986,PABPC1,43407.138255,149,TGCT,cBioPortal,,
8404,SPARCL1,36337.462323,65,KICH,cBioPortal,,
200958,MUC20,31994.954172,65,KICH,cBioPortal,,
2495,FTH1,43806.507353,510,LUAD,cBioPortal,,
348,APOE,33014.009196,283,KIRP,cBioPortal,,
2597,GAPDH,79865.603448,87,MESO,cBioPortal,,
6193,RPS5,38842.496042,48,DLBC,cBioPortal,,
7431,VIM,84123.893529,510,KIRC,cBioPortal,,
567,B2M,50598.884888,300,OV,cBioPortal,No,Yes
3106,HLA-B,38085.614113,592,COADREAD,cBioPortal,No,Yes
1281,COL3A1,77140.134631,149,TGCT,cBioPortal,,
1056,CEL,64964.121016,177,PAAD,cBioPortal,,
60,ACTB,122450.683230,412,STAD,cBioPortal,No,No
7306,TYRP1,118185.089125,80,UVM,cBioPortal,,
8490,RGS5,159386.029213,178,PCPG,cBioPortal,,
2778,GNAS,231746.486517,178,PCPG,cBioPortal,Yes,No
6188,RPS3,67653.683333,48,DLBC,cBioPortal,,
567,B2M,61666.898934,366,LIHC,cBioPortal,No,Yes
3106,HLA-B,41914.860833,36,CHOL,cBioPortal,No,Yes
1509,CTSD,42614.015227,510,KIRC,cBioPortal,,
2495,FTH1,36532.775889,253,SARC,cBioPortal,,
2023,ENO1,53191.987500,48,DLBC,cBioPortal,,
1915,EEF1A1,93721.846043,527,UCEC,cBioPortal,,
567,B2M,58243.560580,181,ESCA,cBioPortal,No,Yes
10631,POSTN,33766.596703,253,SARC,cBioPortal,,
2266,FGG,172637.448495,366,LIHC,cBioPortal,,
716,C1S,46357.140230,87,MESO,cBioPortal,,
811,CALR,31967.298851,87,MESO,cBioPortal,Yes,No
3105,HLA-A,33702.670516,407,BLCA,cBioPortal,No,Yes
203068,TUBB,45864.546309,149,TGCT,cBioPortal,,
6135,RPL11,34367.426050,119,THYM,cBioPortal,,
6122,RPL3,45758.396844,300,OV,cBioPortal,,
336,APOA2,328551.578537,366,LIHC,cBioPortal,,
293,SLC25A6,51781.147500,80,UVM,cBioPortal,,
972,CD74,55347.192925,294,CESC,cBioPortal,Yes,No
10136,CELA3A,82205.985683,177,PAAD,cBioPortal,,
567,B2M,32517.106309,149,TGCT,cBioPortal,No,Yes
972,CD74,51426.647127,283,KIRP,cBioPortal,Yes,No
6223,RPS19,31070.292116,527,UCEC,cBioPortal,,
6175,RPLP0,35558.747222,36,CHOL,cBioPortal,,
1281,COL3A1,281357.010905,253,SARC,cBioPortal,,
6202,RPS8,43573.199496,119,THYM,cBioPortal,,
71,ACTG1,74392.039804,510,LUAD,cBioPortal,No,Yes
3326,HSP90AB1,45938.879945,181,ESCA,cBioPortal,No,No
1938,EEF2,47595.223164,177,PAAD,cBioPortal,,
6194,RPS6,32094.864368,87,MESO,cBioPortal,,
1915,EEF1A1,132299.672917,48,DLBC,cBioPortal,,
7117,TMSL3,53275.183529,119,THYM,cBioPortal,,
1509,CTSD,45299.387632,76,SKCM,cBioPortal,,
6191,RPS4X,32921.206614,493,PRAD,cBioPortal,,
2202,EFEMP1,33701.875172,87,MESO,cBioPortal,,
1508,CTSB,32315.874724,181,ESCA,cBioPortal,,
3105,HLA-A,51159.935500,80,UVM,cBioPortal,No,Yes
6678,SPARC,33528.197244,300,OV,cBioPortal,,
1915,EEF1A1,72147.553542,181,ESCA,cBioPortal,,
2335,FN1,62564.639605,76,SKCM,cBioPortal,,
6138,RPL15,37167.389583,48,DLBC,cBioPortal,,
6122,RPL3,35767.020197,407,BLCA,cBioPortal,,
682,BSG,32030.146579,76,SKCM,cBioPortal,,
6175,RPLP0,37666.770115,87,MESO,cBioPortal,,
9168,TMSB10,31650.272457,407,BLCA,cBioPortal,,
1508,CTSB,31603.737157,510,LUAD,cBioPortal,,
6222,RPS18,33135.807335,484,LUSC,cBioPortal,,
3326,HSP90AB1,36064.483333,36,CHOL,cBioPortal,No,No
3105,HLA-A,38659.027235,510,LUAD,cBioPortal,No,Yes
8755,ADAM6,33194.016685,87,MESO,cBioPortal,,
6160,RPL31,32027.928750,80,UVM,cBioPortal,,
1938,EEF2,86984.088591,149,TGCT,cBioPortal,,
1915,EEF1A1,62468.752809,178,PCPG,cBioPortal,,
51109,RDH11,36088.599435,493,PRAD,cBioPortal,,
567,B2M,74296.967264,497,THCA,cBioPortal,No,Yes
1915,EEF1A1,63088.272368,76,SKCM,cBioPortal,,
2316,FLNA,36713.441184,515,HNSC,cBioPortal,,
967,CD63,52195.773947,76,SKCM,cBioPortal,,
10216,PRG4,39436.531079,87,MESO,cBioPortal,,
3291,HSD11B2,38094.667460,65,KICH,cBioPortal,,
7178,TPT1,49348.192490,253,SARC,cBioPortal,,
9168,TMSB10,36998.781389,36,CHOL,cBioPortal,,
1356,CP,36722.324551,366,LIHC,cBioPortal,,
6277,S100A6,31438.262551,294,CESC,cBioPortal,,
5098,PCDHGC3,31141.902004,514,LGG,cBioPortal,,
6191,RPS4X,34543.070018,1082,BRCA,cBioPortal,,
720,C4A,32521.643874,1082,BRCA,cBioPortal,,
60,ACTB,69648.389537,497,THCA,cBioPortal,No,No
1277,COL1A1,37255.286944,36,CHOL,cBioPortal,Yes,No
1718,DHCR24,69740.942436,78,ACC,cBioPortal,,
2597,GAPDH,130931.767500,80,UVM,cBioPortal,,
6222,RPS18,31394.625930,181,ESCA,cBioPortal,,
6122,RPL3,32641.935331,484,LUSC,cBioPortal,,
7178,TPT1,78100.100222,300,OV,cBioPortal,,
2597,GAPDH,56737.784104,1082,BRCA,cBioPortal,,
3854,KRT6B,39613.425893,181,ESCA,cBioPortal,,
6194,RPS6,54727.889076,119,THYM,cBioPortal,,
226,ALDOA,32880.034963,1082,BRCA,cBioPortal,,
5967,REG1A,63256.545256,177,PAAD,cBioPortal,,
226,ALDOA,37175.521892,407,BLCA,cBioPortal,,
6158,RPL28,35886.330877,57,UCS,cBioPortal,,
4069,LYZ,123022.848418,173,LAML,cBioPortal,,
5660,PSAP,56559.896552,87,MESO,cBioPortal,,
1281,COL3A1,43535.712271,300,OV,cBioPortal,,
1509,CTSD,42538.178098,510,LUAD,cBioPortal,,
2512,FTL,94705.428824,510,LUAD,cBioPortal,,
71,ACTG1,80614.701342,149,TGCT,cBioPortal,No,Yes
1509,CTSD,54321.829167,48,DLBC,cBioPortal,,
10279,PRSS16,51942.238204,119,THYM,cBioPortal,,
2813,GP2,42898.050693,177,PAAD,cBioPortal,,
6319,SCD,53399.174000,366,LIHC,cBioPortal,,
8755,ADAM6,119589.533333,48,DLBC,cBioPortal,,
3105,HLA-A,37186.538889,36,CHOL,cBioPortal,No,Yes
286887,KRT6C,34047.050141,76,SKCM,cBioPortal,,
10376,TUBA1B,38655.985042,119,THYM,cBioPortal,,
8788,DLK1,235154.325396,178,PCPG,cBioPortal,,
7431,VIM,38895.548516,283,KIRP,cBioPortal,,
5216,PFN1,44918.012500,48,DLBC,cBioPortal,,
6222,RPS18,35907.255172,87,MESO,cBioPortal,,
1576,CYP3A4,37756.258161,366,LIHC,cBioPortal,,
720,C4A,30912.751515,497,THCA,cBioPortal,,
10376,TUBA1B,43752.272917,48,DLBC,cBioPortal,,
1915,EEF1A1,83653.378417,139,GBM,cBioPortal,,
3697,ITIH1,43028.628277,366,LIHC,cBioPortal,,
498,ATP5A1,37622.748308,65,KICH,cBioPortal,,
4059,BCAM,37142.182239,300,OV,cBioPortal,,
3107,HLA-C,32771.298980,294,CESC,cBioPortal,No,Yes
6203,RPS9,65255.642500,80,UVM,cBioPortal,,
3326,HSP90AB1,48441.322368,76,SKCM,cBioPortal,No,No
7117,TMSL3,43831.734998,592,COADREAD,cBioPortal,,
7178,TPT1,72214.583750,80,UVM,cBioPortal,,
5104,SERPINA5,32630.475868,78,ACC,cBioPortal,,
1634,DCN,43753.467867,253,SARC,cBioPortal,,
3326,HSP90AB1,37134.616376,412,STAD,cBioPortal,No,No
3861,KRT14,78867.320246,294,CESC,cBioPortal,,
567,B2M,51850.076798,484,LUSC,cBioPortal,No,Yes
71,ACTG1,85988.170055,527,UCEC,cBioPortal,No,Yes
6208,RPS14,34337.372500,80,UVM,cBioPortal,,
6176,RPLP1,34005.505680,294,CESC,cBioPortal,,
60,ACTB,85601.802745,510,KIRC,cBioPortal,No,No
3240,HP,32363.777408,36,CHOL,cBioPortal,,
6132,RPL8,32150.673202,253,SARC,cBioPortal,,
2335,FN1,325083.045714,497,THCA,cBioPortal,,
1284,COL4A2,35888.575968,253,SARC,cBioPortal,,
226,ALDOA,32761.184035,57,UCS,cBioPortal,,
6224,RPS20,44355.489583,48,DLBC,cBioPortal,,
6143,RPL19,65915.855000,80,UVM,cBioPortal,,
6280,S100A9,97917.622058,515,HNSC,cBioPortal,,
6122,RPL3,49423.783099,497,THCA,cBioPortal,,
354,KLK3,406121.821839,493,PRAD,cBioPortal,,
722,C4BPA,32823.040880,366,LIHC,cBioPortal,,
3852,KRT5,53260.757899,119,THYM,cBioPortal,,
26986,PABPC1,35347.654561,57,UCS,cBioPortal,,
5315,PKM2,38835.630188,300,OV,cBioPortal,,
5660,PSAP,46502.965455,253,SARC,cBioPortal,,
972,CD74,56416.044557,253,SARC,cBioPortal,Yes,No
6122,RPL3,33076.378702,412,STAD,cBioPortal,,
9445,ITM2B,36941.973510,510,KIRC,cBioPortal,,
26986,PABPC1,34781.425049,515,HNSC,cBioPortal,,
2335,FN1,72742.211078,510,LUAD,cBioPortal,,
6218,RPS17,40584.798750,80,UVM,cBioPortal,,
6188,RPS3,48004.586975,119,THYM,cBioPortal,,
12,SERPINA3,41443.010944,36,CHOL,cBioPortal,,
23428,SLC7A8,31622.908875,80,UVM,cBioPortal,,
7448,VTN,187935.537611,366,LIHC,cBioPortal,,
3481,IGF2,58316.173030,253,SARC,cBioPortal,Yes,No
9349,RPL23,33174.779167,48,DLBC,cBioPortal,,
6222,RPS18,37036.609852,412,STAD,cBioPortal,,
1293,COL6A3,32655.027203,177,PAAD,cBioPortal,,
7038,TG,704195.762113,497,THCA,cBioPortal,,
358,AQP1,39881.575057,87,MESO,cBioPortal,,
6176,RPLP1,43731.073563,87,MESO,cBioPortal,,
283131,NEAT1,37160.581465,173,LAML,cBioPortal,,
5660,PSAP,63401.104947,283,KIRP,cBioPortal,,
3481,IGF2,208677.325258,178,PCPG,cBioPortal,Yes,No
11224,RPL35,33044.142083,48,DLBC,cBioPortal,,
3105,HLA-A,41016.762874,87,MESO,cBioPortal,No,Yes
1360,CPB1,35792.323751,1082,BRCA,cBioPortal,,
7178,TPT1,66201.895400,493,PRAD,cBioPortal,,
5757,PTMA,38924.315966,119,THYM,cBioPortal,,
2023,ENO1,60859.203804,510,KIRC,cBioPortal,,
5345,SERPINF2,32337.096945,366,LIHC,cBioPortal,,
3700,ITIH4,57993.076677,366,LIHC,cBioPortal,,
6130,RPL7A,41401.400871,173,LAML,cBioPortal,,
2597,GAPDH,68765.494071,253,SARC,cBioPortal,,
1508,CTSB,39270.021383,253,SARC,cBioPortal,,
6280,S100A9,67025.988898,294,CESC,cBioPortal,,
972,CD74,46303.936053,76,SKCM,cBioPortal,Yes,No
2052,EPHX1,79111.280104,366,LIHC,cBioPortal,,
345,APOC3,109742.806539,366,LIHC,cBioPortal,,
5660,PSAP,36978.708470,366,LIHC,cBioPortal,,
3860,KRT13,37094.345748,407,BLCA,cBioPortal,,
7316,UBC,32844.871053,76,SKCM,cBioPortal,,
3312,HSPA8,31193.465976,412,STAD,cBioPortal,,
6138,RPL15,33568.548625,80,UVM,cBioPortal,,
4852,NPY,43327.068952,178,PCPG,cBioPortal,,
6181,RPLP2,53469.850417,48,DLBC,cBioPortal,,
26986,PABPC1,34165.355000,510,LUAD,cBioPortal,,
96610,BMS1P20,33574.450211,412,STAD,cBioPortal,,
2316,FLNA,91423.142134,253,SARC,cBioPortal,,
226,ALDOA,58608.170769,65,KICH,cBioPortal,,
348,APOE,47412.532763,76,SKCM,cBioPortal,,
2512,FTL,91081.084298,484,LUSC,cBioPortal,,
358,AQP1,36754.850459,283,KIRP,cBioPortal,,
5034,P4HB,32593.947059,510,LUAD,cBioPortal,,
972,CD74,41405.544317,139,GBM,cBioPortal,Yes,No
6224,RPS20,39495.258824,119,THYM,cBioPortal,,
3851,KRT4,34434.218941,181,ESCA,cBioPortal,,
567,B2M,70591.485057,87,MESO,cBioPortal,No,Yes
10399,GNB2L1,36139.963961,510,KIRC,cBioPortal,,
6699,SPRR1B,32173.079301,515,HNSC,cBioPortal,,
3326,HSP90AB1,33631.407645,484,LUSC,cBioPortal,No,No
567,B2M,87507.869353,510,KIRC,cBioPortal,No,Yes
6678,SPARC,46213.642632,57,UCS,cBioPortal,,
71,ACTG1,73763.515557,300,OV,cBioPortal,No,Yes
71,ACTG1,81388.484014,294,CESC,cBioPortal,No,Yes
6124,RPL4,44634.626316,57,UCS,cBioPortal,,
2495,FTH1,35174.085612,139,GBM,cBioPortal,,
60,ACTB,158994.525692,253,SARC,cBioPortal,No,No
1915,EEF1A1,65067.457985,407,BLCA,cBioPortal,,
7448,VTN,30907.649333,36,CHOL,cBioPortal,,
6382,SDC1,30998.206777,515,HNSC,cBioPortal,,
1278,COL1A2,115886.260169,177,PAAD,cBioPortal,,
7178,TPT1,81398.349095,497,THCA,cBioPortal,,
3105,HLA-A,44332.079862,515,HNSC,cBioPortal,No,Yes
351,APP,32429.224923,65,KICH,cBioPortal,,
2512,FTL,123874.024028,283,KIRP,cBioPortal,,
6161,RPL32,35787.639916,119,THYM,cBioPortal,,
6122,RPL3,32006.637173,283,KIRP,cBioPortal,,
1915,EEF1A1,76613.638889,36,CHOL,cBioPortal,,
7316,UBC,55060.061176,510,KIRC,cBioPortal,,
1278,COL1A2,103732.862920,1082,BRCA,cBioPortal,,
23521,RPL13A,34026.969123,57,UCS,cBioPortal,,
60,ACTB,121146.258757,177,PAAD,cBioPortal,No,No
71,ACTG1,38815.883077,65,KICH,cBioPortal,No,Yes
2023,ENO1,48321.486302,484,LUSC,cBioPortal,,
771,CA12,74489.803338,65,KICH,cBioPortal,,
567,B2M,46197.859316,1082,BRCA,cBioPortal,No,Yes
5315,PKM2,32350.629718,177,PAAD,cBioPortal,,
60,ACTB,113224.952479,484,LUSC,cBioPortal,No,No
718,C3,41835.733292,300,OV,cBioPortal,,
6217,RPS16,44363.157500,80,UVM,cBioPortal,,
6176,RPLP1,68638.050420,119,THYM,cBioPortal,,
2934,GSN,35794.256403,253,SARC,cBioPortal,,
6194,RPS6,79983.777083,48,DLBC,cBioPortal,,
3312,HSPA8,31819.819367,300,OV,cBioPortal,,
2597,GAPDH,52910.441602,181,ESCA,cBioPortal,,
3918,LAMC2,34513.806683,515,HNSC,cBioPortal,,
8755,ADAM6,32010.557400,36,CHOL,cBioPortal,,
3854,KRT6B,59677.445128,76,SKCM,cBioPortal,,
8755,ADAM6,40323.334837,181,ESCA,cBioPortal,,
720,C4A,38910.248644,510,KIRC,cBioPortal,,
2597,GAPDH,98093.423842,300,OV,cBioPortal,,
6124,RPL4,32661.913889,36,CHOL,cBioPortal,,
6124,RPL4,56088.873154,149,TGCT,cBioPortal,,
567,B2M,56245.342857,119,THYM,cBioPortal,No,Yes
3959,LGALS3BP,50036.582500,80,UVM,cBioPortal,,
7316,UBC,49212.662590,139,GBM,cBioPortal,,
3106,HLA-B,42879.437708,253,SARC,cBioPortal,No,Yes
3852,KRT5,272854.824909,181,ESCA,cBioPortal,,
6122,RPL3,41292.094569,510,KIRC,cBioPortal,,
10399,GNB2L1,34598.496919,527,UCEC,cBioPortal,,
1938,EEF2,70164.997738,592,COADREAD,cBioPortal,,
348,APOE,32451.434388,139,GBM,cBioPortal,,
5660,PSAP,37962.567692,65,KICH,cBioPortal,,
2316,FLNA,30782.869463,149,TGCT,cBioPortal,,
8755,ADAM6,66614.095413,412,STAD,cBioPortal,,
2597,GAPDH,121646.864669,484,LUSC,cBioPortal,,
10577,NPC2,46198.253078,497,THCA,cBioPortal,,
6205,RPS11,69490.917917,48,DLBC,cBioPortal,,
7178,TPT1,35655.170769,65,KICH,cBioPortal,,
226,ALDOA,37139.299029,484,LUSC,cBioPortal,,
3860,KRT13,66073.753185,294,CESC,cBioPortal,,
6206,RPS12,49050.941500,80,UVM,cBioPortal,,
6124,RPL4,31876.083170,407,BLCA,cBioPortal,,
3868,KRT16,61379.726849,76,SKCM,cBioPortal,,
96610,BMS1P20,55035.442396,149,TGCT,cBioPortal,,
1938,EEF2,34406.168367,294,CESC,cBioPortal,,
226,ALDOA,56763.840000,80,UVM,cBioPortal,,
2,A2M,35466.487137,510,KIRC,cBioPortal,,
972,CD74,51647.263729,177,PAAD,cBioPortal,Yes,No
5660,PSAP,41767.962878,139,GBM,cBioPortal,,
1281,COL3A1,37219.222543,592,COADREAD,cBioPortal,,
7178,TPT1,59086.936339,366,LIHC,cBioPortal,,
1410,CRYAB,73616.092552,283,KIRP,cBioPortal,,
1509,CTSD,124771.033846,65,KICH,cBioPortal,,
57447,NDRG2,35938.493872,514,LGG,cBioPortal,,
1278,COL1A2,34333.435346,592,COADREAD,cBioPortal,,
6136,RPL12,52343.343750,80,UVM,cBioPortal,,
