Cancer_Type,Hugo_Symbol,Gene_Id_Entrez,Hotspot,Number_of_Mutated_Samples,Total_Number_of_Samples,Overall_Mutation_Frequency,Dataset_Name,Is_Oncogene,Is_Tumour_Suppressor_Gene,Is_WDR
PAAD,PAAF1,80227,0,1,174,0.57,cBioPortal,--,--,true
PRAD,HERC1,8925,0,3,491,0.61,cBioPortal,--,--,true
SARC,PAN2,9924,0,1,234,0.43,cBioPortal,--,--,true
UCEC,SEC31A,22872,0,53,515,10.29,cBioPortal,false,false,true
STAD,CORO1C,23603,0,2,435,0.46,cBioPortal,--,--,true
THYM,DCAF12L2,340578,0,1,123,0.81,cBioPortal,--,--,true
BRCA,FBXW2,26190,0,4,1009,0.4,cBioPortal,false,false,true
BLCA,PALB2,79728,0,14,409,3.42,cBioPortal,false,true,true
ESCA,TECPR2,9895,0,2,182,1.1,cBioPortal,--,--,true
CESC,CORO2B,10391,0,2,281,0.71,cBioPortal,--,--,true
CHOL,WDR55,54853,0,1,36,2.78,cBioPortal,--,--,true
COADREAD,DTL,51514,0,9,528,1.7,cBioPortal,--,--,true
KIRP,TAF5L,27097,0,1,274,0.36,cBioPortal,--,--,true
GBM,WDR61,80349,0,1,393,0.25,cBioPortal,--,--,true
HNSC,COPA,1314,0,5,502,1,cBioPortal,--,--,true
KIRC,AMBRA1,55626,0,3,356,0.84,cBioPortal,--,--,true
LGG,EIF3I,8668,0,2,509,0.39,cBioPortal,--,--,true
LIHC,WDR46,9277,0,1,358,0.28,cBioPortal,--,--,true
LUAD,WDR47,22911,0,8,561,1.43,cBioPortal,--,--,true
LUSC,WDR38,401551,0,1,469,0.21,cBioPortal,--,--,true
SKCM,WDR4,10785,0,6,440,1.36,cBioPortal,--,--,true
OV,GTF3C2,2976,0,2,409,0.49,cBioPortal,--,--,true
PAAD,EED,8726,0,2,174,1.15,cBioPortal,false,true,true
PRAD,ZNF106,64397,0,3,491,0.61,cBioPortal,--,--,true
SARC,EML2,24139,0,1,234,0.43,cBioPortal,--,--,true
UCEC,SRFBP1,153443,0,23,515,4.47,cBioPortal,--,--,true
STAD,SH2D2A,9047,0,7,435,1.61,cBioPortal,--,--,true
THYM,DCAF6,55827,0,1,123,0.81,cBioPortal,--,--,true
BRCA,KIAA1432,0,0,17,1009,1.68,cBioPortal,--,--,true
BLCA,WDR70,55100,0,7,409,1.71,cBioPortal,--,--,true
ESCA,TEP1,7011,0,2,182,1.1,cBioPortal,--,--,true
CESC,TLE3,7090,0,3,281,1.07,cBioPortal,false,false,true
CHOL,BRWD3,254065,0,2,36,5.56,cBioPortal,--,--,true
COADREAD,WDR5,11091,0,8,528,1.52,cBioPortal,--,--,true
KIRP,PPP2R2C,5522,0,1,274,0.36,cBioPortal,--,--,true
GBM,WDR73,84942,0,1,393,0.25,cBioPortal,--,--,true
HNSC,NUP43,348995,0,2,502,0.4,cBioPortal,--,--,true
KIRC,WDR60,0,0,1,356,0.28,cBioPortal,--,--,true
LGG,RBBP4,5928,0,1,509,0.2,cBioPortal,--,--,true
LIHC,CDC20B,166979,0,5,358,1.4,cBioPortal,--,--,true
LUAD,WDR65,0,0,6,561,1.07,cBioPortal,--,--,true
LUSC,TLE1,7088,0,10,469,2.13,cBioPortal,false,false,true
SKCM,WDR41,55255,0,8,440,1.82,cBioPortal,--,--,true
OV,IFT172,26160,0,5,409,1.22,cBioPortal,--,--,true
PAAD,NUP37,79023,0,1,174,0.57,cBioPortal,--,--,true
PRAD,WDR48,57599,0,3,491,0.61,cBioPortal,--,--,true
SARC,WDHD1,11169,0,1,234,0.43,cBioPortal,--,--,true
UCEC,PPP2R2B,5521,0,28,515,5.44,cBioPortal,--,--,true
STAD,CDC20B,166979,0,2,435,0.46,cBioPortal,--,--,true
THYM,THOC3,84321,0,1,123,0.81,cBioPortal,--,--,true
BRCA,WDR33,55339,0,10,1009,0.99,cBioPortal,--,--,true
BLCA,SEC31B,25956,0,12,409,2.93,cBioPortal,--,--,true
ESCA,TLE6,79816,0,2,182,1.1,cBioPortal,--,--,true
CESC,PALB2,79728,0,5,281,1.78,cBioPortal,false,true,true
CHOL,AMBRA1,55626,0,1,36,2.78,cBioPortal,--,--,true
COADREAD,PAFAH1B1,5048,0,6,528,1.14,cBioPortal,--,--,true
KIRP,WRAP53,55135,0,1,274,0.36,cBioPortal,--,--,true
GBM,WDR11,55717,0,2,393,0.51,cBioPortal,--,--,true
HNSC,WDR25,79446,0,4,502,0.8,cBioPortal,--,--,true
KIRC,DCAF12L1,139170,0,1,356,0.28,cBioPortal,--,--,true
LGG,RWDD2B,10069,0,1,509,0.2,cBioPortal,--,--,true
LIHC,STXBP5L,9515,0,5,358,1.4,cBioPortal,--,--,true
LUAD,WSB1,26118,0,7,561,1.25,cBioPortal,--,--,true
LUSC,ERCC8,1161,0,2,469,0.43,cBioPortal,--,--,true
SKCM,WDR46,9277,0,7,440,1.59,cBioPortal,--,--,true
OV,WDR19,57728,0,1,409,0.24,cBioPortal,--,--,true
PAAD,GNB3,2784,0,2,174,1.15,cBioPortal,--,--,true
PRAD,TLE4,7091,0,4,491,0.81,cBioPortal,false,false,true
SARC,SRFBP1,153443,0,1,234,0.43,cBioPortal,--,--,true
UCEC,CDC40,51362,0,23,515,4.47,cBioPortal,--,--,true
STAD,EIF3I,8668,0,6,435,1.38,cBioPortal,--,--,true
THYM,WDR72,256764,0,1,123,0.81,cBioPortal,--,--,true
BRCA,IFT122,55764,0,10,1009,0.99,cBioPortal,--,--,true
BLCA,TBL1XR1,79718,0,9,409,2.2,cBioPortal,true,false,true
ESCA,TLE2,7089,0,4,182,2.2,cBioPortal,false,false,true
CESC,WDR93,56964,0,4,281,1.42,cBioPortal,--,--,true
CHOL,DCAF4L2,138009,0,1,36,2.78,cBioPortal,--,--,true
