hugo_symbol_a,hugo_symbol_b,neighborhood,neighborhood_transferred,fusion,cooccurence,homology,coexpression,coexpression_transferred,experiments,experiments_transferred,database,database_transferred,textmining,textmining_transferred,combined_score,dataset_name,is_oncogene_a,is_tumor_suppressor_gene_a,is_oncogene_b,is_tumor_suppressor_gene_b
SLC16A11,NFXL1,0,0,0,0,0,0,51,292,0,0,0,0,65,316,STRING_v12,,,,
HDAC4,CHD8,0,0,0,0,0,49,0,0,125,0,0,193,81,300,STRING_v12,Yes,Yes,,
SLC2A5,SLC13A2,0,0,0,0,0,0,69,0,0,0,0,195,102,268,STRING_v12,,,,
KCNK18,TRPV1,0,0,0,0,0,47,0,0,0,0,0,506,0,509,STRING_v12,,,,
RANBP17,ZNF525,0,0,0,0,0,49,0,0,51,0,0,257,0,270,STRING_v12,,,,
SARS1,RPL9,0,47,0,0,0,97,118,0,0,0,0,0,207,317,STRING_v12,,,,
PTPRF,PTPRU,0,0,0,0,692,126,0,0,99,0,0,166,0,285,STRING_v12,,,,
KPNA5,IPO11,0,0,0,0,0,44,0,0,0,0,0,395,166,475,STRING_v12,,,,
RELA,TYK2,0,0,0,0,0,98,104,0,98,0,0,275,90,431,STRING_v12,,,Yes,No
FFAR1,TRPV1,0,0,0,0,0,0,0,0,0,0,0,405,0,405,STRING_v12,,,,
SLC11A1,LAMP1,0,0,0,0,0,42,86,0,0,0,0,521,0,543,STRING_v12,,,,
CD58,TYK2,0,0,0,0,0,0,67,0,68,0,0,246,47,291,STRING_v12,No,Yes,Yes,No
BAZ1A,CHD8,0,0,0,0,0,83,121,0,181,0,0,348,150,567,STRING_v12,,,,
UBE2E1,IPO11,0,0,0,0,0,49,0,510,0,0,0,419,74,715,STRING_v12,,,,
BSG,C3orf33,0,0,0,0,0,0,0,302,0,0,0,0,0,302,STRING_v12,,,,
AMIGO2,SRGN,0,0,0,0,0,0,0,0,0,0,0,247,179,355,STRING_v12,,,,
SYNJ2,SCAMP1,0,0,0,0,0,42,0,0,0,0,0,137,204,284,STRING_v12,,,,
ZFAND4,RPL9,0,0,0,0,0,0,151,0,418,0,0,0,67,498,STRING_v12,,,,
MRPL58,PRAMEF6,0,0,0,0,0,0,140,0,414,0,0,0,81,496,STRING_v12,,,,
UROC1,PYCR1,0,0,0,0,0,0,0,0,0,0,0,240,67,260,STRING_v12,,,,
THUMPD2,SCAMP1,0,0,0,0,0,49,0,0,0,0,0,199,160,304,STRING_v12,,,,
CMC2,LYSMD3,0,0,0,0,0,0,0,0,0,0,0,213,100,261,STRING_v12,,,,
DCN,CMA1,0,0,0,0,0,62,0,0,0,0,0,213,90,269,STRING_v12,,,,
AP1S3,CARD14,0,0,0,0,0,49,55,0,0,0,0,773,0,778,STRING_v12,,,,
SUMO3,CHD8,0,0,0,0,0,0,0,292,152,0,0,0,77,397,STRING_v12,,,,
STAT1,TRPV1,0,0,0,0,0,0,0,0,0,0,0,165,166,273,STRING_v12,No,No,,
STAT5B,EOMES,0,0,0,0,0,0,50,0,71,0,0,445,0,467,STRING_v12,Yes,No,,
SLC1A5,LAMP1,0,0,0,0,0,42,0,137,0,0,0,125,102,263,STRING_v12,,,,
CES4A,IAH1,0,0,0,0,0,0,0,0,53,0,0,324,113,382,STRING_v12,,,,
GNLY,SRGN,0,0,0,0,0,109,87,0,0,0,0,490,0,548,STRING_v12,,,,
CD80,EOMES,0,0,0,0,0,55,0,0,45,0,0,391,0,402,STRING_v12,,,,
FAAH,IAH1,0,0,0,0,0,0,74,0,0,0,673,206,91,752,STRING_v12,,,,
ARID4B,CHD8,0,0,0,0,0,60,108,0,141,0,0,0,129,288,STRING_v12,No,Yes,,
RRS1,PRAMEF6,0,0,0,0,0,0,108,0,254,0,0,0,0,306,STRING_v12,,,,
SCN9A,TRPV1,0,0,0,0,0,42,0,0,0,0,0,764,62,769,STRING_v12,,,,
SUMO1,CHD8,0,0,0,0,0,49,0,292,152,0,0,0,77,402,STRING_v12,,,,
BIN1,LAMP1,0,0,0,0,0,43,0,0,0,0,0,247,162,343,STRING_v12,,,,
TONSL,ZNF525,0,0,0,0,0,0,0,0,91,0,0,232,0,272,STRING_v12,No,No,,
MET,LAMP1,0,0,0,0,0,0,99,166,0,0,0,196,0,343,STRING_v12,Yes,No,,
TNFRSF1A,EOMES,0,0,0,0,0,0,0,0,0,0,0,219,155,311,STRING_v12,,,,
RPS27,NFXL1,0,0,0,0,0,0,0,0,313,0,0,0,50,319,STRING_v12,,,,
DUSP9,PTPRU,0,0,0,0,0,105,0,0,71,0,0,177,84,289,STRING_v12,No,No,,
CIART,ARNTL2,0,0,0,0,0,0,0,0,91,0,0,403,92,464,STRING_v12,,,,
SRP68,RPL9,0,0,0,0,0,120,0,830,403,0,0,0,46,903,STRING_v12,,,,
FXYD5,CHD8,0,0,0,0,0,0,0,0,0,0,0,470,0,470,STRING_v12,,,,
REL,EOMES,0,0,0,0,0,45,0,0,45,0,0,212,101,267,STRING_v12,Yes,No,,
ATXN3L,USP35,0,0,0,0,0,0,0,0,0,0,0,310,92,346,STRING_v12,,,,
NSF,SCAMP1,0,0,0,0,0,59,0,210,0,0,0,85,128,327,STRING_v12,,,,
SPDYE9P,PRAMEF6,0,46,0,0,0,0,300,0,256,0,0,0,100,493,STRING_v12,,,,
CCL3,CXCL5,0,0,0,0,0,65,67,0,0,0,0,806,81,823,STRING_v12,,,,
SNX3,LAMP1,0,0,0,0,0,55,67,128,0,0,0,327,159,485,STRING_v12,,,,
HCN3,GLRA3,0,0,0,0,0,0,54,0,0,0,0,220,115,289,STRING_v12,,,,
COX4I1,PPIAL4C,0,0,0,0,0,0,303,0,0,0,0,0,0,303,STRING_v12,,,,
STAMBPL1,USP35,0,0,0,0,0,0,0,0,68,0,0,167,166,295,STRING_v12,,,,
ARG1,CXCL5,0,0,0,0,0,0,83,0,0,0,0,433,0,457,STRING_v12,,,,
EBI3,TYK2,0,0,0,0,0,43,60,0,0,500,0,81,65,543,STRING_v12,,,Yes,No
LTBP4,PYCR1,0,0,0,0,0,0,0,0,0,0,0,323,0,323,STRING_v12,,,,
FGFR3,CRTAP,0,0,0,0,0,0,0,0,0,0,0,137,347,412,STRING_v12,Yes,No,,
SLC25A3,RPL9,0,0,0,0,0,136,256,0,0,0,0,140,166,477,STRING_v12,,,,
ELAVL4,NFASC,0,0,0,0,0,138,87,0,77,0,0,103,100,306,STRING_v12,,,,
HAVCR2,TYK2,0,0,0,0,0,42,57,226,81,0,0,149,0,353,STRING_v12,,,Yes,No
LCA5L,CCM2,0,0,0,0,0,0,0,0,119,0,0,245,350,529,STRING_v12,,,,
TTC37,RPL9,0,0,0,0,0,56,0,0,429,0,0,0,0,437,STRING_v12,,,,
ODC1,PYCR1,0,50,0,0,0,72,0,0,0,0,0,358,164,463,STRING_v12,,,,
RPLP1,SCAMP1,0,0,0,0,0,42,0,0,0,0,0,76,292,318,STRING_v12,,,,
CRPPA,POLN,0,0,0,0,0,0,0,0,0,0,0,166,155,265,STRING_v12,,,,
GART,POLN,0,270,0,0,0,0,0,0,0,0,0,0,52,278,STRING_v12,,,,
NCR2,LAMP1,0,0,0,0,0,0,0,0,0,0,0,608,0,608,STRING_v12,,,,
ITGA4,LAMP1,0,0,0,0,0,42,0,0,0,0,0,717,56,721,STRING_v12,,,,
MSH5,POLN,0,0,0,0,0,0,49,0,64,0,0,205,156,322,STRING_v12,,,,
FERMT2,PLEKHG4,0,0,0,0,0,0,0,0,0,400,0,0,138,460,STRING_v12,,,,
LPP,MFAP5,0,0,0,0,0,59,0,0,0,0,0,247,0,261,STRING_v12,No,No,,
EZH2,EOMES,0,0,0,0,0,44,68,0,44,0,0,348,0,370,STRING_v12,Yes,Yes,,
COL8A2,MFAP5,0,0,0,0,0,163,52,0,0,0,0,208,80,344,STRING_v12,,,,
CLEC14A,EOMES,0,0,0,258,0,49,0,0,45,0,0,0,44,269,STRING_v12,,,,
EID1,TBX22,0,0,0,0,0,0,0,0,0,0,0,102,349,390,STRING_v12,,,,
HSPG2,SRGN,0,0,0,0,0,0,0,0,0,0,0,583,74,597,STRING_v12,,,,
GAPDH,CCM2,0,0,0,0,0,44,0,0,71,0,0,145,166,281,STRING_v12,,,,
SCNN1D,TRPV1,0,0,0,0,0,53,52,0,0,0,0,260,101,322,STRING_v12,,,,
NUDT4B,ARNTL2,0,0,0,0,0,0,0,0,0,0,0,257,83,289,STRING_v12,,,,
ZC3H4,CHD8,0,0,0,0,0,216,87,0,0,0,0,103,252,455,STRING_v12,,,,
HEXA,GNPTAB,0,0,0,0,0,67,0,0,0,0,0,0,348,365,STRING_v12,,,,
ERCC2,POLN,0,0,0,0,0,0,56,0,0,0,0,211,160,319,STRING_v12,No,Yes,,
MEIS1,EOMES,0,0,0,0,0,0,0,0,46,0,0,252,81,286,STRING_v12,,,,
DPT,MFAP5,0,0,0,0,0,253,104,0,0,0,0,201,55,427,STRING_v12,,,,
SLC1A2,SLC13A2,0,0,0,0,0,0,55,0,0,0,208,175,131,391,STRING_v12,No,No,,
RPL10L,NFXL1,0,0,0,0,0,0,0,0,319,0,0,0,0,319,STRING_v12,,,,
MRPS15,RPL9,0,0,0,0,0,62,657,0,579,0,0,0,240,883,STRING_v12,,,,
ASNS,PYCR1,0,0,0,0,0,121,67,0,0,0,0,419,155,543,STRING_v12,,,,
MT-ND4L,TYK2,0,0,0,0,0,0,0,0,296,0,0,0,48,301,STRING_v12,,,Yes,No
TUBB8,SECISBP2L,0,0,0,0,0,0,242,0,130,0,0,0,53,320,STRING_v12,,,,
EDAR,IAH1,0,0,0,0,0,0,0,0,0,0,0,150,197,288,STRING_v12,,,,
ALB,TRPV1,0,0,0,0,0,0,0,0,0,0,0,505,116,543,STRING_v12,No,No,,
MAT2B,PRAMEF6,0,0,0,0,0,0,109,0,256,0,0,0,0,308,STRING_v12,,,,
AGT,CXCL5,0,0,0,0,0,0,0,0,0,500,0,213,0,589,STRING_v12,,,,
SELE,CXCL5,0,0,0,0,0,56,86,0,0,0,0,397,0,434,STRING_v12,,,,
ENO4,CARD14,0,41,0,0,0,0,110,0,188,0,0,0,91,285,STRING_v12,,,,
CD19,EOMES,0,0,0,0,0,57,86,0,0,0,0,513,80,562,STRING_v12,Yes,No,,
NRXN2,FXR2,0,0,0,0,0,42,0,0,0,0,0,248,102,296,STRING_v12,,,,
FZD8,PTPRU,0,0,0,0,0,83,0,0,71,0,0,600,0,629,STRING_v12,,,,
CXXC1,SETDB2,0,0,0,0,0,60,87,0,292,0,0,148,130,467,STRING_v12,,,No,Yes
NRXN1,CHD8,0,0,0,0,0,0,0,0,46,0,0,570,0,572,STRING_v12,,,,
VEGFC,CXCL5,0,0,0,0,0,55,0,0,0,0,0,317,0,326,STRING_v12,,,,
HDC,CMA1,0,0,0,0,0,127,64,0,99,0,104,369,77,526,STRING_v12,,,,
NPPA,CMA1,0,0,0,0,0,45,0,0,0,0,0,259,47,266,STRING_v12,,,,
SYN1,NFASC,0,0,0,0,0,127,64,0,0,0,0,209,0,297,STRING_v12,,,,
CMPK1,RPL9,0,61,0,0,0,117,487,0,0,0,0,0,138,584,STRING_v12,,,,
NPSR1,GLRA3,0,0,0,0,0,0,86,0,0,0,0,201,98,283,STRING_v12,,,,
FCN1,SRGN,0,0,0,0,0,149,55,0,0,0,0,147,114,310,STRING_v12,,,,
WRB-SH3BGR,CCM2,0,0,0,0,0,0,55,0,0,0,0,0,287,297,STRING_v12,,,,
CCDC134,CRTAP,0,0,0,0,0,56,0,0,0,0,0,371,91,413,STRING_v12,,,,
MRPL23,CHD8,0,0,0,0,0,47,0,0,0,0,0,492,0,495,STRING_v12,,,,
CUL7,PPIAL4C,0,0,0,0,0,0,137,0,228,0,0,0,52,313,STRING_v12,,,,
DNAJC25-GNG10,RPL9,0,0,0,0,0,0,63,0,261,0,0,0,53,286,STRING_v12,,,,
FBXO40,RPL9,0,54,0,0,0,0,208,0,0,0,0,0,116,279,STRING_v12,,,,
RFC3,POLN,0,0,0,0,0,0,142,0,60,0,0,0,161,264,STRING_v12,,,,
HAVCR2,EOMES,0,0,0,0,0,74,103,0,0,0,0,622,51,662,STRING_v12,,,,
MRPS11,NFXL1,0,0,0,0,0,0,0,0,275,0,0,0,0,275,STRING_v12,,,,
CREB1,CHD8,0,0,0,0,0,100,0,164,0,0,0,117,0,277,STRING_v12,Yes,No,,
MIOS,NFXL1,0,0,0,0,0,220,205,0,0,0,0,0,0,353,STRING_v12,,,,
MRPS18A,PRAMEF6,0,0,0,0,0,0,196,0,303,0,0,0,100,451,STRING_v12,,,,
SEC16B,CRTAP,0,0,0,0,0,0,0,0,0,0,0,79,233,263,STRING_v12,,,,
SLC6A5,GLRA3,0,0,0,0,0,42,107,0,0,0,0,445,0,483,STRING_v12,,,,
DCN,CRTAP,0,0,0,0,0,56,0,0,0,0,0,246,47,262,STRING_v12,,,,
KIF23,FXR2,0,0,0,0,0,49,0,292,0,0,0,0,0,297,STRING_v12,,,,
MRPL38,RPL9,0,0,0,0,0,67,77,0,443,0,0,0,51,483,STRING_v12,,,,
ITGA4,EOMES,0,0,0,0,0,55,104,0,0,0,0,350,0,401,STRING_v12,,,,
MS4A2,CMA1,0,0,0,0,0,247,110,0,0,0,0,740,0,810,STRING_v12,,,,
TUBB3,SECISBP2L,0,0,0,0,0,0,242,0,130,0,0,0,53,320,STRING_v12,,,,
TRAPPC8,GNPTAB,0,0,0,0,0,257,55,0,0,0,0,0,0,267,STRING_v12,,,,
GAGE10,PRAMEF6,0,45,0,0,0,0,294,0,227,0,0,0,67,448,STRING_v12,,,,
IL22RA1,CXCL5,0,0,0,0,0,0,0,0,0,0,0,288,0,288,STRING_v12,,,,
MPHOSPH8,SETDB2,0,0,0,0,0,72,45,0,296,0,0,213,100,477,STRING_v12,,,No,Yes
DLGAP3,FXR2,0,0,0,0,0,44,0,0,60,0,0,392,0,405,STRING_v12,,,,
AP4E1,GNPTAB,0,0,0,0,0,138,0,0,45,0,0,473,242,627,STRING_v12,,,,
GNAO1,NFASC,0,0,0,0,0,179,0,0,64,0,0,108,49,260,STRING_v12,,,,
STX12,SCAMP1,0,0,0,0,0,98,0,218,0,0,0,197,73,404,STRING_v12,,,,
TLR2,CMA1,0,0,0,0,0,56,0,0,0,0,0,292,0,303,STRING_v12,,,,
MSS51,RPL9,0,0,0,0,0,0,56,0,0,0,0,116,187,262,STRING_v12,,,,
GOLGA4,LAMP1,0,0,0,0,0,42,0,0,0,0,0,371,52,378,STRING_v12,,,,
IFNA1,CXCL5,0,0,0,0,0,0,0,0,0,0,0,419,0,418,STRING_v12,,,,
GAPDH,IAH1,0,113,0,0,0,56,63,0,0,0,0,0,251,333,STRING_v12,,,,
SIN3A,CHD8,0,0,0,0,0,212,67,0,114,0,0,272,128,511,STRING_v12,,,,
KIR2DL4,LAMP1,0,0,0,0,0,0,0,0,0,0,0,309,0,309,STRING_v12,,,,
SRFBP1,RPL9,0,42,0,0,0,0,86,0,96,0,0,0,203,284,STRING_v12,,,,
PSG9,SECISBP2L,0,0,0,0,0,0,0,464,55,0,0,0,48,475,STRING_v12,,,,
SS18L1,DTX1,0,0,0,0,0,0,0,0,0,0,0,510,70,524,STRING_v12,No,No,No,Yes
PLIN3,LAMP1,0,0,0,0,0,68,0,0,43,0,0,275,83,327,STRING_v12,,,,
VARS1,PRAMEF6,0,0,0,0,0,0,294,0,52,0,0,0,166,393,STRING_v12,,,,
EFNB2,PLEKHG4,0,0,0,0,0,0,52,319,0,0,0,0,45,329,STRING_v12,,,,
EPX,CMA1,0,0,0,0,0,42,0,0,44,0,0,290,79,320,STRING_v12,,,,
TRRAP,CHD8,0,0,0,0,0,95,103,0,257,0,0,189,98,478,STRING_v12,No,No,,
IFI27,TYK2,0,0,0,0,0,0,0,0,84,0,0,245,0,278,STRING_v12,,,Yes,No
H4C6,CHD8,0,0,0,0,0,49,0,292,239,0,0,124,90,517,STRING_v12,No,No,,
KIF1A,FXR2,0,0,0,0,0,0,0,162,0,0,0,125,86,271,STRING_v12,,,,
WDR45B,NRBF2,0,0,0,0,0,0,0,0,0,0,0,358,154,433,STRING_v12,,,,
SLC6A9,GLRA3,0,0,0,0,0,0,75,0,0,0,0,323,160,428,STRING_v12,,,,
MRPL38,USP35,0,0,0,0,0,0,0,0,0,0,0,0,278,278,STRING_v12,,,,
KCNA4,PRAMEF6,0,0,0,0,0,0,213,0,165,0,0,0,51,321,STRING_v12,,,,
MRPL9,PRAMEF6,0,0,0,0,0,0,449,0,422,0,0,0,163,710,STRING_v12,,,,
HDAC7,SETDB2,0,42,0,0,0,0,60,0,127,0,0,145,102,286,STRING_v12,Yes,No,No,Yes
RPS6KB2,RPL9,0,0,0,0,0,0,55,292,0,0,0,0,0,302,STRING_v12,Yes,No,,
CHRNB3,GLRA3,0,0,0,219,568,47,60,0,0,0,0,113,71,318,STRING_v12,,,,
GUF1,POLN,0,92,0,0,0,0,67,0,0,0,0,0,204,266,STRING_v12,,,,
PSMD14,RPL9,0,0,0,0,0,276,79,0,136,0,0,129,135,486,STRING_v12,,,,
JAG1,PLEKHG4,0,0,0,0,0,0,45,0,88,400,0,0,0,431,STRING_v12,,,,
TGFB1,LAMP1,0,0,0,0,0,67,50,0,0,0,0,348,0,371,STRING_v12,,,,
LRRTM1,NFASC,0,0,0,0,0,109,97,0,75,0,0,244,68,380,STRING_v12,,,,
GAGE2E,PRAMEF6,0,45,0,0,0,0,294,0,227,0,0,0,67,448,STRING_v12,,,,
COL26A1,CRTAP,0,0,0,0,0,0,0,0,0,500,0,102,79,550,STRING_v12,,,,
SOD1,LAMP1,0,0,0,0,0,49,0,292,0,0,0,265,73,479,STRING_v12,,,,
ANO1,TRPV1,0,0,0,0,0,0,0,0,0,0,0,507,115,545,STRING_v12,,,,
TAF7,CHD8,0,0,0,0,0,49,0,0,0,900,0,0,73,904,STRING_v12,,,,
GRIA4,NFASC,0,0,0,0,0,109,104,0,0,0,0,160,79,299,STRING_v12,,,,
U2AF2,FXR2,0,0,0,0,0,141,0,0,0,0,0,234,120,370,STRING_v12,No,No,,
ADGRV1,LYSMD3,0,0,0,0,0,0,0,0,0,0,0,475,86,499,STRING_v12,,,,
MIPOL1,CARD14,0,0,0,0,0,0,0,0,0,0,0,548,0,548,STRING_v12,,,,
ERVFRD-1,SRGN,0,0,0,0,0,0,49,0,0,0,0,407,0,411,STRING_v12,,,,
TEX261,PCBD2,0,0,0,0,0,42,0,0,0,0,0,348,0,348,STRING_v12,,,,
KCNH1,GLRA3,0,0,1,0,0,80,62,0,0,0,0,197,75,273,STRING_v12,,,,
LRRTM2,NFASC,0,0,0,0,0,100,0,0,75,0,0,200,80,305,STRING_v12,,,,
IRF4,TYK2,0,0,0,0,0,0,106,0,94,0,0,323,56,413,STRING_v12,Yes,No,Yes,No
TOP3A,RPL9,0,0,0,0,0,0,108,0,0,0,0,0,281,331,STRING_v12,,,,
GPR139,MRGPRE,0,0,0,0,0,0,0,0,0,0,0,446,101,480,STRING_v12,,,,
NLGN3,CHD8,0,0,0,0,0,0,55,0,46,0,0,521,0,530,STRING_v12,,,,
EDNRA,TRPV1,0,0,0,0,0,0,0,0,45,0,0,290,0,292,STRING_v12,,,,
BARHL1,EOMES,0,0,0,0,0,42,0,0,71,0,0,199,90,264,STRING_v12,,,,
TFPI2,MFAP5,0,0,0,0,0,0,206,0,0,0,0,160,69,324,STRING_v12,,,,
PLRG1,LINS1,0,0,0,0,0,55,0,625,0,0,0,0,0,630,STRING_v12,,,,
ADAM12,MFAP5,0,0,0,0,0,95,68,0,0,0,0,297,47,359,STRING_v12,,,,
ADAMTS9,TBX22,0,0,0,0,0,0,0,0,0,0,0,0,272,272,STRING_v12,,,,
FCGR3A,EOMES,0,0,0,0,0,67,0,0,0,0,0,507,65,532,STRING_v12,,,,
IL17A,CMA1,0,0,0,0,0,48,55,0,0,0,0,348,0,362,STRING_v12,,,,
STARD3,LAMP1,0,0,0,0,0,62,0,202,0,0,0,233,66,392,STRING_v12,,,,
PSMG1,RPL9,0,0,0,0,0,163,116,0,563,0,0,0,121,677,STRING_v12,,,,
CADM4,NFASC,0,0,0,0,0,80,0,0,0,0,0,445,56,475,STRING_v12,,,,
PCF11,PYCR1,0,0,0,0,0,42,0,0,0,0,0,901,204,917,STRING_v12,,,,
SHC1,TYK2,0,0,0,0,0,49,98,0,73,500,0,304,50,675,STRING_v12,,,Yes,No
ADGRB2,PPIAL4C,0,0,0,0,0,0,99,0,237,0,0,0,67,302,STRING_v12,,,,
UBE2E2,IPO11,0,0,0,0,0,67,0,292,0,0,0,603,0,714,STRING_v12,,,,
DEUP1,PTPRU,0,0,0,0,0,0,0,0,0,0,0,358,0,358,STRING_v12,,,,
ARF5,LAMP1,0,0,0,0,0,57,74,0,0,0,0,453,66,494,STRING_v12,,,,
DAP3,PPIAL4C,0,0,0,0,0,0,55,0,316,0,0,0,0,325,STRING_v12,,,,
CD8A,CXCL5,0,0,0,0,0,42,52,0,0,0,0,575,0,580,STRING_v12,,,,
EIF2AK2,FXR2,0,0,0,0,0,67,0,162,0,0,0,177,0,300,STRING_v12,,,,
BCLAF1,FXR2,0,0,0,0,0,102,0,0,0,0,0,91,166,259,STRING_v12,,,,
NOS2,LAMP1,0,0,0,0,0,0,0,0,0,0,0,202,115,263,STRING_v12,,,,
HMOX1,TRPV1,0,0,0,0,0,0,0,0,0,0,0,302,128,365,STRING_v12,,,,
CCDC71,USP35,0,0,0,0,0,322,0,0,0,0,0,0,0,321,STRING_v12,,,,
POLR2I,PYCR1,0,0,0,0,0,62,0,0,0,0,0,571,0,580,STRING_v12,,,,
TWIST1,EOMES,0,0,0,0,0,0,54,0,0,0,0,211,90,261,STRING_v12,,,,
