player_id,name,team,nationality,position,age,goals,assists,points,penalty_minutes,games_played,plus_minus
PL025,Mark Scheifele,Winnipeg Jets,Canadian,C,30,41,52,93,26,79,6
PL026,Aleksander Barkov,Florida Panthers,Finnish,C,28,29,60,89,20,81,22
PL027,Bo Horvat,New York Islanders,Canadian,C,28,38,44,82,34,82,2
PL028,Anze Kopitar,Los Angeles Kings,Slovenian,C,36,22,48,70,14,79,-4
PL029,Jonathan Huberdeau,Calgary Flames,Canadian,LW,30,24,55,79,12,80,6
PL030,Steven Stamkos,Tampa Bay Lightning,Canadian,C,33,35,42,77,22,74,8
PL031,Nazem Kadri,Colorado Avalanche,Canadian,C,32,34,39,73,64,72,14
PL032,Mikael Granlund,Nashville Predators,Finnish,C,31,22,51,73,10,82,4
PL033,Patrice Bergeron,Boston Bruins,Canadian,C,37,27,40,67,16,78,18
PL034,Ryan Nugent-Hopkins,Edmonton Oilers,Canadian,LW,30,30,57,87,12,82,20
PL035,Tyler Seguin,Dallas Stars,Canadian,C,31,32,44,76,22,77,10
PL036,Andrei Svechnikov,Carolina Hurricanes,Russian,RW,23,32,43,75,36,75,12
PL037,Brady Tkachuk,Ottawa Senators,Canadian,LW,24,37,44,81,96,82,6
PL038,Drake Batherson,Ottawa Senators,Canadian,RW,24,28,46,74,16,79,4
PL039,Brock Nelson,New York Islanders,American,C,31,34,39,73,24,82,-2
PL040,William Nylander,Toronto Maple Leafs,Swedish,RW,27,40,47,87,18,82,16
PL041,Erik Karlsson,Pittsburgh Penguins,Swedish,D,33,14,62,76,28,65,8
PL042,Dougie Hamilton,New Jersey Devils,Canadian,D,30,16,55,71,32,78,12
PL043,Seth Jones,Chicago Blackhawks,American,D,28,10,38,48,22,65,-18
PL044,Aaron Ekblad,Florida Panthers,Canadian,D,27,14,42,56,28,74,14
PL045,Shea Theodore,Vegas Golden Knights,Canadian,D,28,12,48,60,20,79,16
PL046,Andrei Vasilevskiy,Tampa Bay Lightning,Russian,G,29,0,0,0,2,58,0
PL047,Igor Shesterkin,New York Rangers,Russian,G,28,0,0,0,4,56,0
PL048,Juuse Saros,Nashville Predators,Finnish,G,28,0,0,0,0,60,0
PL049,Jacob Markstrom,Calgary Flames,Swedish,G,33,0,0,0,4,55,0
PL050,Frederik Andersen,Carolina Hurricanes,Danish,G,33,0,0,0,2,52,0
PL051,Marc-Andre Fleury,Minnesota Wild,Canadian,G,38,0,0,0,6,50,0
PL052,Thatcher Demko,Vancouver Canucks,American,G,27,0,0,0,2,62,0
PL053,Carter Hart,Philadelphia Flyers,Canadian,G,25,0,0,0,4,48,0
PL054,Linus Ullmark,Boston Bruins,Swedish,G,30,0,0,0,2,54,0
PL055,John Gibson,Anaheim Ducks,American,G,30,0,0,0,4,46,0
PL056,Elias Lindholm,Calgary Flames,Swedish,C,28,30,38,68,20,82,8
PL057,Ryan O'Reilly,St. Louis Blues,Canadian,C,32,23,41,64,22,77,6
PL058,Pierre-Luc Dubois,Winnipeg Jets,Canadian,C,24,27,38,65,34,80,4
PL059,Kyle Connor,Winnipeg Jets,American,LW,27,38,45,83,16,82,12
PL060,Max Pacioretty,Vegas Golden Knights,American,LW,34,18,22,40,18,38,4
PL061,Jakub Voracek,Philadelphia Flyers,Czech,RW,33,24,50,74,30,79,6
PL062,Patrik Laine,Columbus Blue Jackets,Finnish,RW,25,26,28,54,28,56,2
PL063,Phil Kessel,Vegas Golden Knights,American,RW,35,16,32,48,6,74,4
PL064,Blake Wheeler,Winnipeg Jets,American,RW,36,14,40,54,22,76,-6
PL065,Claude Giroux,Ottawa Senators,Canadian,C,35,23,44,67,30,78,4
PL066,Travis Konecny,Philadelphia Flyers,Canadian,RW,26,30,37,67,40,80,8
PL067,Evgeni Malkin,Pittsburgh Penguins,Russian,C,36,22,47,69,38,66,4
PL068,Rickard Rakell,Pittsburgh Penguins,Swedish,C,30,24,30,54,14,74,6
PL069,Sam Reinhart,Florida Panthers,Canadian,RW,28,35,43,78,12,82,16
PL070,Vincent Trocheck,New York Rangers,American,C,30,26,40,66,34,82,10
PL071,Anthony Mantha,Washington Capitals,Canadian,RW,29,22,28,50,24,65,2
PL072,Vladislav Namestnikov,Colorado Avalanche,Russian,C,30,18,27,45,16,72,8
PL073,Gabriel Vilardi,Winnipeg Jets,Canadian,C,23,24,28,52,14,72,10
PL074,Nico Hischier,New Jersey Devils,Swiss,C,24,25,38,63,18,79,8
PL075,Bryan Rust,Pittsburgh Penguins,American,RW,31,22,28,50,22,68,6
PL076,Brent Burns,Carolina Hurricanes,Canadian,D,38,12,38,50,40,80,4
PL077,Jake Guentzel,Pittsburgh Penguins,American,LW,29,36,40,76,16,76,14
PL078,Gustav Nyquist,Nashville Predators,Swedish,RW,33,18,30,48,12,78,2
PL079,Tomas Hertl,San Jose Sharks,Czech,C,29,27,32,59,22,66,-12
PL080,Chris Kreider,New York Rangers,American,LW,32,36,30,66,36,82,12
PL081,Morgan Rielly,Toronto Maple Leafs,Canadian,D,29,14,50,64,16,80,10
PL082,Tyson Barrie,Edmonton Oilers,Canadian,D,32,12,44,56,14,78,14
PL083,Hampus Lindholm,Boston Bruins,Swedish,D,29,8,38,46,20,78,16
PL084,John Carlson,Washington Capitals,American,D,33,10,40,50,22,72,2
PL085,Jakob Chychrun,Ottawa Senators,Canadian,D,25,14,35,49,24,72,0
PL086,Ivan Provorov,Philadelphia Flyers,Russian,D,26,10,32,42,28,82,-8
PL087,Travis Hamonic,Toronto Maple Leafs,Canadian,D,32,6,18,24,38,64,4
PL088,Connor Brown,Ottawa Senators,Canadian,RW,28,16,22,38,14,72,4
PL089,Nicklas Backstrom,Washington Capitals,Swedish,C,35,14,38,52,18,60,4
PL090,Evander Kane,Edmonton Oilers,Canadian,LW,31,28,25,53,72,64,8
PL091,Nick Foligno,Boston Bruins,Canadian,LW,35,14,18,32,44,68,2
PL092,David Perron,Detroit Red Wings,Canadian,RW,35,20,30,50,32,74,-2
PL093,Alexander Kerfoot,Toronto Maple Leafs,Canadian,C,27,16,24,40,12,80,6
PL094,Lars Eller,Washington Capitals,Danish,C,33,14,20,34,22,74,4
PL095,Andrew Copp,New York Rangers,American,C,28,20,24,44,28,76,8
PL096,Jesperi Kotkaniemi,Carolina Hurricanes,Finnish,C,23,18,24,42,18,74,6
PL097,Nicholas Paul,Tampa Bay Lightning,Canadian,C,27,16,22,38,24,72,8
PL098,Zach Parise,New York Islanders,American,LW,38,14,18,32,20,62,-4
PL099,Cody Glass,Nashville Predators,Canadian,C,24,12,20,32,14,66,0
PL100,Rem Pitlick,Minnesota Wild,American,C,25,14,18,32,16,68,4
